instance,fhtw,n,kn,time,phase,minseps,pmcs
hypergraphs_10.dtl,1.500,5,0,0.01,1,0,0
hypergraphs_11.dtl,1.500,5,0,0.03,1,0,0
hypergraphs_12.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_13.dtl,1.500,10,0,0.02,1,0,0
hypergraphs_14.dtl,1.500,8,0,0.03,1,0,0
hypergraphs_15.dtl,1.500,5,0,0.01,1,0,0
hypergraphs_16.dtl,3.000,19,14,0.07,5,43,164
hypergraphs_17.dtl,2.000,10,8,0.03,5,9,20
hypergraphs_18.dtl,3.000,16,12,0.05,5,25,80
hypergraphs_19.dtl,3.000,17,17,0.1,5,77,344
hypergraphs_1.dtl,2.000,10,5,0.04,5,5,10
hypergraphs_20.dtl,3.000,13,13,0.06,5,25,80
hypergraphs_21.dtl,3.000,15,15,0.06,5,43,165
hypergraphs_22.dtl,2.000,9,7,0.03,5,9,20
hypergraphs_23.dtl,3.000,19,19,0.13,5,92,476
hypergraphs_24.dtl,3.000,11,11,0.04,5,15,40
hypergraphs_25.dtl,2.000,9,7,0.03,5,9,20
hypergraphs_26.dtl,2.000,9,9,0.03,5,9,20
hypergraphs_27.dtl,2.000,21,21,0.11,5,77,364
hypergraphs_28.dtl,2.000,11,7,0.04,5,9,20
hypergraphs_29.dtl,2.000,9,7,0.03,5,9,20
hypergraphs_2bitcomp_5.hg,-1,95,95,MO,2,540115260,0
hypergraphs_2.dtl,1.500,3,0,0.01,1,0,0
hypergraphs_30.dtl,3.000,27,27,0.32,5,277,2220
hypergraphs_31.dtl,1.500,4,0,0.01,1,0,0
hypergraphs_32.dtl,1.500,4,0,0.01,1,0,0
hypergraphs_33.dtl,1.500,3,0,0.01,1,0,0
hypergraphs_34.dtl,1.500,4,0,0.01,1,0,0
hypergraphs_35.dtl,1.500,3,0,0.01,1,0,0
hypergraphs_36.dtl,2.000,6,4,0.03,5,2,4
hypergraphs_37.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_38.dtl,2.000,6,4,0.02,5,2,4
hypergraphs_39.dtl,2.000,6,4,0.02,5,2,4
