instance,tw,triang_fhtw,frasmt_fhtw
hypergraphs_10.dtl,1.500,0.01,3.71
hypergraphs_11.dtl,1.500,0.03,2.89
hypergraphs_12.dtl,2.000,0.02,3.2
hypergraphs_13.dtl,1.500,0.02,2.93
hypergraphs_14.dtl,1.500,0.03,2.93
hypergraphs_15.dtl,1.500,0.01,2.88
hypergraphs_16.dtl,3.000,0.07,9.13
hypergraphs_17.dtl,2.000,0.03,4.09
hypergraphs_18.dtl,3.000,0.05,6.8
hypergraphs_19.dtl,3.000,0.1,12.15
hypergraphs_1.dtl,2.000,0.04,1.1
hypergraphs_20.dtl,3.000,0.06,5.54
hypergraphs_21.dtl,3.000,0.06,8.12
hypergraphs_22.dtl,2.000,0.03,1.56
hypergraphs_23.dtl,3.000,0.13,15.67
hypergraphs_24.dtl,3.000,0.04,3.56
hypergraphs_25.dtl,2.000,0.03,1.57
hypergraphs_26.dtl,2.000,0.03,2.34
hypergraphs_27.dtl,2.000,0.11,22.7
hypergraphs_28.dtl,2.000,0.04,1.53
hypergraphs_29.dtl,2.000,0.03,3.41
hypergraphs_2bitcomp_5.hg,-1,MO,TO
hypergraphs_2.dtl,1.500,0.01,2.5
hypergraphs_30.dtl,3.000,0.32,46.58
hypergraphs_31.dtl,1.500,0.01,2.72
hypergraphs_32.dtl,1.500,0.01,2.72
hypergraphs_33.dtl,1.500,0.01,2.7
hypergraphs_34.dtl,1.500,0.01,2.61
hypergraphs_35.dtl,1.500,0.01,2.61
hypergraphs_36.dtl,2.000,0.03,2.88
hypergraphs_37.dtl,2.000,0.02,2.86
hypergraphs_38.dtl,2.000,0.02,0.92
hypergraphs_39.dtl,2.000,0.02,0.9
hypergraphs_3.dtl,1.500,0.01,0.68
hypergraphs_40.dtl,2.000,0.02,0.9
hypergraphs_41.dtl,1.500,0.01,0.68
hypergraphs_42.dtl,2.000,0.02,0.93
hypergraphs_43.dtl,2.000,0.02,0.93
hypergraphs_44.dtl,2.000,0.02,0.93
hypergraphs_45.dtl,2.000,0.03,0.93
hypergraphs_46.dtl,2.000,0.02,2.74
hypergraphs_47.dtl,2.000,0.02,2.72
hypergraphs_48.dtl,2.000,0.03,2.71
hypergraphs_49.dtl,2.000,0.03,2.74
hypergraphs_4.dtl,2.000,0.03,2.94
hypergraphs_50.dtl,2.000,0.02,3.09
hypergraphs_51.dtl,2.000,0.03,3.09
hypergraphs_52.dtl,2.000,0.02,3.14
hypergraphs_53.dtl,2.000,0.02,3.1
hypergraphs_54.dtl,1.500,0.01,2.06
hypergraphs_55.dtl,2.000,0.03,0.92
hypergraphs_56.dtl,2.000,0.02,4.05
hypergraphs_57.dtl,2.000,0.02,4.11
hypergraphs_58.dtl,1.500,0.01,3.76
hypergraphs_59.dtl,1.500,0.02,3.8
hypergraphs_5.dtl,2.000,0.03,4.28
hypergraphs_60.dtl,2.000,0.02,4.05
hypergraphs_61.dtl,2.000,0.03,4.04
hypergraphs_62.dtl,2.000,0.02,0.92
hypergraphs_63.dtl,2.000,0.03,0.91
hypergraphs_64.dtl,2.000,0.02,0.91
hypergraphs_65.dtl,1.500,0.01,0.67
hypergraphs_66.dtl,1.500,0.01,0.65
hypergraphs_67.dtl,1.500,0.03,0.68
hypergraphs_68.dtl,1.500,0.01,0.68
hypergraphs_69.dtl,2.000,0.02,1.0
hypergraphs_6.dtl,1.500,0.01,0.69
hypergraphs_70.dtl,2.000,0.02,0.92
hypergraphs_7.dtl,1.500,0.02,2.57
hypergraphs_8.dtl,2.000,0.02,2.85
hypergraphs_9.dtl,1.500,0.01,2.9
hypergraphs_adder_15.hg,2.000,0.15,10.85
hypergraphs_adder_25.hg,2.000,0.24000000000000002,19.8
hypergraphs_adder_50.hg,2.000,0.49,63.79
hypergraphs_adder_75.hg,2.000,0.84,166.59
hypergraphs_adder_99.hg,2.000,1.15,346.4
hypergraphs_aim-50-1_6-no-3.hg,-1,TO,TO
hypergraphs_aim-50-1-6-sat-1.xml.hg,-1,TO,TO
hypergraphs_aim-50-1-6-sat-2.xml.hg,-1,TO,TO
hypergraphs_aim-50-1-6-sat-3.xml.hg,-1,TO,TO
hypergraphs_aim-50-1-6-sat-4.xml.hg,-1,TO,TO
hypergraphs_aim-50-1-6-unsat-1.xml.hg,-1,TO,TO
hypergraphs_aim-50-1-6-unsat-2.xml.hg,-1,TO,TO
hypergraphs_aim-50-1-6-unsat-3.xml.hg,-1,TO,TO
hypergraphs_aim-50-1-6-unsat-4.xml.hg,-1,TO,TO
hypergraphs_aim-50-2_0-no-3.hg,-1,TO,TO
hypergraphs_aim-50-2-0-sat-1.xml.hg,-1,TO,TO
hypergraphs_aim-50-2-0-sat-2.xml.hg,-1,TO,TO
hypergraphs_aim-50-2-0-sat-3.xml.hg,-1,TO,TO
hypergraphs_aim-50-2-0-sat-4.xml.hg,-1,TO,TO
hypergraphs_aim-50-2-0-unsat-1.xml.hg,-1,TO,TO
hypergraphs_aim-50-2-0-unsat-2.xml.hg,-1,TO,TO
hypergraphs_aim-50-2-0-unsat-3.xml.hg,-1,TO,TO
hypergraphs_aim-50-2-0-unsat-4.xml.hg,-1,TO,TO
hypergraphs_aim-50-2_0-yes1-3.hg,-1,TO,TO
hypergraphs_aim-50-3_4-yes1-3.hg,-1,TO,TO
hypergraphs_atv_partial_system.hg,3.000,10.69,510.07
hypergraphs_b02.hg,3.000,0.77,39.91
hypergraphs_b06.hg,4.000,1.73,139.05
hypergraphs_bridge_15.hg,2.000,25.25,TO
hypergraphs_bridge_25.hg,2.000,172.48,TO
hypergraphs_bridge_50.hg,-1,TO,TO
hypergraphs_bridge_75.hg,-1,TO,TO
hypergraphs_bridge_99.hg,-1,TO,TO
hypergraphs_clique_15.hg,7.500,735.82,TO
hypergraphs_cnf-2-40-0100-730621.xml.hg,6.000,113.41,482.82
hypergraphs_cnf-2-40-0100-730622.xml.hg,6.000,29.55,179.57
hypergraphs_cnf-2-40-0100-730623.xml.hg,6.000,72.3,193.05
hypergraphs_cnf-2-40-0100-730624.xml.hg,6.000,44.31,173.52
hypergraphs_cnf-2-40-0100-730625.xml.hg,6.500,138.56,TO
hypergraphs_cnf-2-40-0100-730626.xml.hg,6.000,18.55,206.67
hypergraphs_cnf-2-40-0100-730627.xml.hg,6.500,141.01,TO
hypergraphs_cnf-2-40-0100-730628.xml.hg,6.000,115.54,278.43
hypergraphs_cnf-2-40-0100-730629.xml.hg,6.000,86.0,182.42
hypergraphs_cnf-2-40-0100-730630.xml.hg,7.000,183.38,TO
hypergraphs_cnf-2-80-0100-735541.xml.hg,5.000,845.31,519.32
hypergraphs_cnf-2-80-0100-735542.xml.hg,5.000,3045.77,628.04
hypergraphs_cnf-2-80-0100-735543.xml.hg,-1,TO,TO
hypergraphs_cnf-2-80-0100-735544.xml.hg,5.000,1477.65,508.74
hypergraphs_cnf-2-80-0100-735545.xml.hg,5.000,1736.99,400.66
hypergraphs_cnf-2-80-0100-735546.xml.hg,5.000,2387.77,797.22
hypergraphs_cnf-2-80-0100-735547.xml.hg,6.000,417.14,1260.78
hypergraphs_cnf-2-80-0100-735548.xml.hg,4.500,840.8,356.54
hypergraphs_cnf-2-80-0100-735549.xml.hg,4.000,923.46,408.41
hypergraphs_cnf-2-80-0100-735550.xml.hg,4.500,1410.1999999999998,428.66
hypergraphs_cnf-3-40-0100-730621.xml.hg,8.389,116.35,TO
hypergraphs_cnf-3-40-0100-730622.xml.hg,7.429,52.44,TO
hypergraphs_cnf-3-40-0100-730623.xml.hg,8.333,109.86,TO
hypergraphs_cnf-3-40-0100-730624.xml.hg,7.417,26.57,TO
hypergraphs_cnf-3-40-0100-730625.xml.hg,8.300,77.84,TO
hypergraphs_cnf-3-40-0100-730626.xml.hg,7.588,60.84,TO
hypergraphs_cnf-3-40-0100-730627.xml.hg,8.154,76.37,TO
hypergraphs_cnf-3-40-0100-730628.xml.hg,7.731,68.89,TO
hypergraphs_cnf-3-40-0100-730629.xml.hg,8.043,53.3,TO
hypergraphs_cnf-3-40-0100-730630.xml.hg,8.047,44.44,TO
hypergraphs_cnf-3-80-0100-735541.xml.hg,-1,MO,TO
hypergraphs_cnf-3-80-0100-735542.xml.hg,-1,TO,TO
hypergraphs_cnf-3-80-0100-735543.xml.hg,-1,MO,TO
