instance,tw,info_ghtw_n,info_ghtw_kn,triang_ghtw,info_ghtw_phase,info_ghtw_minseps,info_ghtw_pmcs
hypergraphs_10.dtl,2,5,0,0.4,1,0,0
hypergraphs_11.dtl,2,5,0,0.4,1,0,0
hypergraphs_12.dtl,2,6,0,0.4,1,0,0
hypergraphs_13.dtl,2,10,0,0.41,1,0,0
hypergraphs_14.dtl,2,8,0,0.04,1,0,0
hypergraphs_15.dtl,2,5,0,0.02,1,0,0
hypergraphs_16.dtl,3,19,14,0.08,5,43,12
hypergraphs_17.dtl,2,10,0,0.03,1,0,0
hypergraphs_18.dtl,3,16,12,0.07,5,25,10
hypergraphs_19.dtl,3,17,17,0.1,5,77,44
hypergraphs_1.dtl,2,10,0,0.04,1,0,0
hypergraphs_20.dtl,3,13,13,0.06,5,25,18
hypergraphs_21.dtl,3,15,15,0.06,5,43,25
hypergraphs_22.dtl,2,9,0,0.03,1,0,0
hypergraphs_23.dtl,3,19,19,0.06,5,92,38
hypergraphs_24.dtl,3,11,11,0.05,5,15,13
hypergraphs_25.dtl,2,9,0,0.03,1,0,0
hypergraphs_26.dtl,2,9,0,0.04,1,0,0
hypergraphs_27.dtl,2,21,0,0.06,1,0,0
hypergraphs_28.dtl,2,11,0,0.05,1,0,0
hypergraphs_29.dtl,2,9,0,0.04,1,0,0
hypergraphs_2bitcomp_5.hg,-1,95,95,MO,2,536855183,0
hypergraphs_2.dtl,2,3,0,0.02,1,0,0
hypergraphs_30.dtl,3,27,27,0.1,5,277,63
hypergraphs_31.dtl,2,4,0,0.02,1,0,0
hypergraphs_32.dtl,2,4,0,0.02,1,0,0
hypergraphs_33.dtl,2,3,0,0.01,1,0,0
hypergraphs_34.dtl,2,4,0,0.02,1,0,0
hypergraphs_35.dtl,2,3,0,0.02,1,0,0
hypergraphs_36.dtl,2,6,0,0.02,1,0,0
hypergraphs_37.dtl,2,6,0,0.03,1,0,0
hypergraphs_38.dtl,2,6,0,0.02,1,0,0
hypergraphs_39.dtl,2,6,0,0.03,1,0,0
hypergraphs_3.dtl,2,8,0,0.03,1,0,0
hypergraphs_40.dtl,2,6,0,0.03,1,0,0
hypergraphs_41.dtl,2,5,0,0.02,1,0,0
hypergraphs_42.dtl,2,6,0,0.03,1,0,0
hypergraphs_43.dtl,2,6,0,0.03,1,0,0
hypergraphs_44.dtl,2,6,0,0.03,1,0,0
hypergraphs_45.dtl,2,6,0,0.03,1,0,0
hypergraphs_46.dtl,2,6,0,0.02,1,0,0
hypergraphs_47.dtl,2,6,0,0.02,1,0,0
hypergraphs_48.dtl,2,6,0,0.01,1,0,0
hypergraphs_49.dtl,2,6,0,0.03,1,0,0
hypergraphs_4.dtl,2,10,0,0.04,1,0,0
hypergraphs_50.dtl,2,6,0,0.03,1,0,0
hypergraphs_51.dtl,2,6,0,0.03,1,0,0
hypergraphs_52.dtl,2,6,0,0.03,1,0,0
hypergraphs_53.dtl,2,6,0,0.03,1,0,0
hypergraphs_54.dtl,2,4,0,0.02,1,0,0
hypergraphs_55.dtl,2,6,0,0.02,1,0,0
hypergraphs_56.dtl,2,6,0,0.03,1,0,0
hypergraphs_57.dtl,2,6,0,0.02,1,0,0
hypergraphs_58.dtl,2,4,0,0.02,1,0,0
hypergraphs_59.dtl,2,5,0,0.02,1,0,0
hypergraphs_5.dtl,2,10,0,0.04,1,0,0
hypergraphs_60.dtl,2,6,0,0.02,1,0,0
