instance,ghtw,triang,balsepkdecomp,globalbipkdecomp,localbipkdecomp,frasmt
hypergraphs_10.dtl,2,0.4,0.56,0.7,0.2,9.88
hypergraphs_11.dtl,2,0.4,1.58,0.66,0.21,9.86
hypergraphs_12.dtl,2,0.4,1.55,0.7,0.19,10.0
hypergraphs_13.dtl,2,0.41,1.53,0.7,0.19,10.38
hypergraphs_14.dtl,2,0.04,1.54,0.23,0.2,3.62
hypergraphs_15.dtl,2,0.02,0.56,0.13,0.24,3.02
hypergraphs_16.dtl,3,0.08,0.58,1.19,0.44,17.66
hypergraphs_17.dtl,2,0.03,0.51,0.2,0.19,4.92
hypergraphs_18.dtl,3,0.07,0.56,0.81,0.34,11.92
hypergraphs_19.dtl,3,0.1,0.56,1.53,0.38,14.05
hypergraphs_1.dtl,2,0.04,0.58,0.19,0.15,3.26
hypergraphs_20.dtl,3,0.06,0.57,0.56,0.21,7.54
hypergraphs_21.dtl,3,0.06,0.67,0.82,0.26,9.9
hypergraphs_22.dtl,2,0.03,0.5,0.17,0.17,4.16
hypergraphs_23.dtl,3,0.06,0.6,2.24,0.29,17.32
hypergraphs_24.dtl,3,0.05,0.59,0.32,0.2,5.51
hypergraphs_25.dtl,2,0.03,0.48,0.2,0.14,4.39
hypergraphs_26.dtl,2,0.04,0.48,0.15,0.13,4.39
hypergraphs_27.dtl,2,0.06,0.58,0.24,0.18,22.3
hypergraphs_28.dtl,2,0.05,0.55,0.18,0.17,5.52
hypergraphs_29.dtl,2,0.04,0.26,0.19,0.23,5.72
hypergraphs_2bitcomp_5.hg,-1,MO,TO,TO,TO,TO
hypergraphs_2.dtl,2,0.02,0.3,0.14,0.21,4.12
hypergraphs_30.dtl,3,0.1,0.5,10.01,0.53,47.45
hypergraphs_31.dtl,2,0.02,0.29,0.12,0.19,2.9
hypergraphs_32.dtl,2,0.02,0.29,0.12,0.22,2.91
hypergraphs_33.dtl,2,0.01,0.32,0.13,0.22,2.82
hypergraphs_34.dtl,2,0.02,0.3,0.11,0.22,3.84
hypergraphs_35.dtl,2,0.02,0.3,0.11,0.22,3.77
hypergraphs_36.dtl,2,0.02,0.3,0.12,0.2,4.21
hypergraphs_37.dtl,2,0.03,0.3,0.14,0.24,3.0
hypergraphs_38.dtl,2,0.02,0.29,0.13,0.21,2.97
hypergraphs_39.dtl,2,0.03,0.28,0.14,0.18,2.96
hypergraphs_3.dtl,2,0.03,0.3,0.17,0.2,2.9
hypergraphs_40.dtl,2,0.03,0.23,0.14,0.22,2.84
hypergraphs_41.dtl,2,0.02,0.3,0.14,0.19,2.49
hypergraphs_42.dtl,2,0.03,0.14,0.14,0.16,2.67
hypergraphs_43.dtl,2,0.03,0.28,0.16,0.16,2.66
hypergraphs_44.dtl,2,0.03,0.3,0.14,0.19,2.67
hypergraphs_45.dtl,2,0.03,0.3,0.22,0.12,2.7
hypergraphs_46.dtl,2,0.02,0.37,0.23,0.17,2.72
hypergraphs_47.dtl,2,0.02,0.28,0.23,0.15,2.7
hypergraphs_48.dtl,2,0.01,0.14,0.15,0.16,3.13
hypergraphs_49.dtl,2,0.03,0.15,0.15,0.13,3.15
hypergraphs_4.dtl,2,0.04,0.33,0.16,0.14,3.26
hypergraphs_50.dtl,2,0.03,0.25,0.15,0.12,1.11
hypergraphs_51.dtl,2,0.03,0.16,0.15,0.12,1.15
hypergraphs_52.dtl,2,0.03,0.15,0.15,0.15,1.09
hypergraphs_53.dtl,2,0.03,0.16,0.15,0.19,3.31
hypergraphs_54.dtl,2,0.02,0.16,0.14,0.19,2.91
hypergraphs_55.dtl,2,0.02,0.26,0.13,0.18,3.29
hypergraphs_56.dtl,2,0.03,0.15,0.22,0.18,3.03
hypergraphs_57.dtl,2,0.02,0.28,0.21,0.29,3.04
hypergraphs_58.dtl,2,0.02,0.28,0.14,0.2,2.66
hypergraphs_59.dtl,2,0.02,0.16,0.16,0.22,2.56
hypergraphs_5.dtl,2,0.04,0.22,0.2,0.24,3.03
hypergraphs_60.dtl,2,0.02,0.23,0.14,0.11,2.9
hypergraphs_61.dtl,2,0.02,0.15,0.15,0.19,2.9
hypergraphs_62.dtl,2,0.03,0.25,0.15,0.21,2.91
hypergraphs_63.dtl,2,0.02,0.16,0.15,0.13,2.9
hypergraphs_64.dtl,2,0.02,0.16,0.15,0.13,2.38
hypergraphs_65.dtl,2,0.02,0.17,0.17,0.2,2.41
hypergraphs_66.dtl,2,0.01,0.3,0.2,0.17,2.39
hypergraphs_67.dtl,2,0.02,0.33,0.15,0.17,3.0
hypergraphs_68.dtl,2,0.02,0.14,0.12,0.16,2.75
hypergraphs_69.dtl,2,0.02,0.14,0.15,0.2,3.12
hypergraphs_6.dtl,2,0.02,0.3,0.17,0.15,3.17
hypergraphs_70.dtl,2,0.03,0.26,0.16,0.16,3.32
hypergraphs_7.dtl,2,0.04,0.29,0.18,0.18,3.98
hypergraphs_8.dtl,2,0.03,0.28,0.13,0.17,9.04
hypergraphs_9.dtl,2,0.03,0.15,0.17,0.15,9.2
hypergraphs_adder_15.hg,2,0.19,TO,0.82,0.64,27.53
hypergraphs_adder_25.hg,2,0.28,TO,1.25,1.08,43.0
hypergraphs_adder_50.hg,2,0.59,TO,2.85,2.26,107.53
hypergraphs_adder_75.hg,2,1.02,TO,4.88,3.47,235.16
hypergraphs_adder_99.hg,2,1.54,TO,6.2,4.81,388.05
hypergraphs_aim-50-1_6-no-3.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-1-6-sat-1.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-1-6-sat-2.xml.hg,8,1785.87,TO,TO,TO,TO
hypergraphs_aim-50-1-6-sat-3.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-1-6-sat-4.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-1-6-unsat-1.xml.hg,7,1112.45,TO,TO,TO,TO
hypergraphs_aim-50-1-6-unsat-2.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-1-6-unsat-3.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-1-6-unsat-4.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2_0-no-3.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2-0-sat-1.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2-0-sat-2.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2-0-sat-3.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2-0-sat-4.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2-0-unsat-1.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2-0-unsat-2.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2-0-unsat-3.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2-0-unsat-4.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-2_0-yes1-3.hg,-1,TO,TO,TO,TO,TO
hypergraphs_aim-50-3_4-yes1-3.hg,-1,TO,TO,TO,TO,TO
hypergraphs_atv_partial_system.hg,3,3.77,TO,727.31,376.53,1731.89
hypergraphs_b02.hg,3,0.18,0.72,36.66,RTE,41.18
hypergraphs_b06.hg,4,1.63,TO,TO,TO,211.09
hypergraphs_bridge_15.hg,2,3.12,4.51,1.37,1.04,TO
hypergraphs_bridge_25.hg,2,5.85,8.37,2.46,1.44,TO
hypergraphs_bridge_50.hg,2,97.22,79.33,7.16,3.85,TO
hypergraphs_bridge_75.hg,2,721.09,459.36,14.84,5.42,TO
hypergraphs_bridge_99.hg,2,2946.33,745.42,26.92,8.73,TO
hypergraphs_clique_15.hg,8,2976.63,96.79,TO,TO,TO
hypergraphs_cnf-2-40-0100-730621.xml.hg,6,21.27,TO,TO,TO,TO
hypergraphs_cnf-2-40-0100-730622.xml.hg,6,33.88,TO,TO,TO,TO
hypergraphs_cnf-2-40-0100-730623.xml.hg,6,20.07,TO,TO,TO,TO
hypergraphs_cnf-2-40-0100-730624.xml.hg,6,36.49,TO,TO,TO,TO
hypergraphs_cnf-2-40-0100-730625.xml.hg,7,73.05,TO,TO,TO,TO
hypergraphs_cnf-2-40-0100-730626.xml.hg,6,26.48,TO,TO,TO,TO
hypergraphs_cnf-2-40-0100-730627.xml.hg,7,59.75,TO,TO,TO,TO
hypergraphs_cnf-2-40-0100-730628.xml.hg,6,57.84,TO,TO,TO,TO
hypergraphs_cnf-2-40-0100-730629.xml.hg,6,11.37,TO,TO,TO,TO
hypergraphs_cnf-2-40-0100-730630.xml.hg,7,86.96,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735541.xml.hg,5,69.23,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735542.xml.hg,5,29.5,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735543.xml.hg,6,603.3,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735544.xml.hg,5,8.66,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735545.xml.hg,5,10.23,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735546.xml.hg,5,42.3,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735547.xml.hg,6,73.03,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735548.xml.hg,5,7.67,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735549.xml.hg,4,7.75,TO,TO,TO,TO
hypergraphs_cnf-2-80-0100-735550.xml.hg,5,10.56,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730621.xml.hg,9,350.31,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730622.xml.hg,8,161.62,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730623.xml.hg,9,312.28,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730624.xml.hg,8,82.58,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730625.xml.hg,9,222.02,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730626.xml.hg,8,181.88,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730627.xml.hg,9,292.55,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730628.xml.hg,8,206.95,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730629.xml.hg,9,152.28,TO,TO,TO,TO
hypergraphs_cnf-3-40-0100-730630.xml.hg,9,132.57,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735541.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735542.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735543.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735544.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735545.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735546.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735547.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735548.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735549.xml.hg,-1,MO,TO,TO,TO,TO
hypergraphs_cnf-3-80-0100-735550.xml.hg,-1,TO,TO,TO,TO,TO
hypergraphs_cril-0_X2.xml.hg,4,7.81,TO,TO,TO,1203.49
hypergraphs_deep100-q01.hg,1,0.04,0.22,0.33,0.23,3.39
hypergraphs_deep100-q02.hg,1,0.03,0.23,0.33,0.18,0.94
hypergraphs_deep100-q03.hg,1,0.02,0.23,0.33,0.23,0.91
hypergraphs_deep100-q04.hg,1,0.03,0.21,0.25,0.16,3.26
hypergraphs_deep100-q05.hg,1,0.03,0.11,0.26,0.16,0.88
hypergraphs_deep100-q06.hg,1,0.02,0.12,0.26,0.16,1.01
hypergraphs_deep100-q07.hg,1,0.04,0.22,0.3,0.28,1.02
hypergraphs_deep100-q08.hg,1,0.03,0.2,0.13,0.24,1.02
hypergraphs_deep100-q09.hg,1,0.03,0.21,0.15,0.2,1.11
hypergraphs_deep100-q10.hg,1,0.02,0.22,0.12,0.21,1.12
hypergraphs_deep100-q11.hg,1,0.04,0.25,0.16,0.23,1.28
hypergraphs_deep100-q12.hg,1,0.04,0.15,0.17,0.25,3.9
hypergraphs_deep100-q13.hg,1,0.03,RTE,0.17,0.28,1.32
hypergraphs_deep100-q14.hg,1,0.03,0.26,0.15,0.26,1.29
hypergraphs_deep100-q15.hg,1,0.03,0.14,0.17,0.27,3.5
hypergraphs_deep100-q16.hg,1,0.03,0.25,0.16,0.28,1.76
hypergraphs_deep100-q17.hg,1,0.05,0.2,0.19,0.32,1.73
hypergraphs_deep100-q18.hg,1,0.05,0.28,0.2,0.32,4.19
hypergraphs_deep100-q19.hg,1,0.04,0.3,0.18,0.26,1.75
hypergraphs_deep100-q20.hg,1,0.03,RTE,0.17,0.24,1.73
hypergraphs_deep200-q01.hg,1,0.03,0.25,0.13,0.19,3.07
hypergraphs_deep200-q02.hg,1,0.02,0.12,0.11,0.18,0.88
hypergraphs_deep200-q03.hg,1,0.03,0.24,0.13,0.22,3.43
hypergraphs_deep200-q04.hg,1,0.04,0.25,0.12,0.16,0.87
hypergraphs_deep200-q05.hg,1,0.02,0.24,0.11,0.25,3.75
hypergraphs_deep200-q06.hg,1,0.04,0.17,0.13,0.23,1.02
hypergraphs_deep200-q07.hg,1,0.04,0.21,0.15,0.24,3.41
hypergraphs_deep200-q08.hg,1,0.04,0.24,0.12,0.23,3.63
hypergraphs_deep200-q09.hg,1,0.04,0.15,0.16,0.27,3.41
hypergraphs_deep200-q10.hg,1,0.03,0.14,0.18,0.29,3.42
hypergraphs_deep200-q11.hg,1,0.03,0.22,0.17,0.23,1.28
hypergraphs_deep200-q12.hg,1,0.04,0.21,0.15,0.2,3.85
hypergraphs_deep200-q13.hg,1,0.04,0.18,0.15,0.21,3.34
hypergraphs_deep200-q14.hg,1,0.03,0.24,0.15,0.21,3.21
hypergraphs_deep200-q15.hg,1,0.04,0.23,0.17,0.25,3.69
