instance,tw,detkdecomp
hypergraphs_10.dtl,2,0.39
hypergraphs_11.dtl,2,0.32
hypergraphs_12.dtl,2,0.31
hypergraphs_13.dtl,2,0.3
hypergraphs_14.dtl,2,0.28
hypergraphs_15.dtl,2,0.26
hypergraphs_16.dtl,3,0.38
hypergraphs_17.dtl,2,0.32
hypergraphs_18.dtl,3,0.37
hypergraphs_19.dtl,3,0.33
hypergraphs_1.dtl,2,0.16
hypergraphs_20.dtl,3,0.17
hypergraphs_21.dtl,3,0.18
hypergraphs_22.dtl,2,0.14
hypergraphs_23.dtl,3,0.29
hypergraphs_24.dtl,3,0.26
hypergraphs_25.dtl,2,0.24
hypergraphs_26.dtl,2,0.14
hypergraphs_27.dtl,2,0.32
hypergraphs_28.dtl,2,0.16
hypergraphs_29.dtl,2,0.28
hypergraphs_2bitcomp_5.hg,-1,TO
hypergraphs_2.dtl,2,0.23
hypergraphs_30.dtl,3,0.39
hypergraphs_31.dtl,2,0.24
hypergraphs_32.dtl,2,0.18
hypergraphs_33.dtl,2,0.24
hypergraphs_34.dtl,2,0.21
hypergraphs_35.dtl,2,0.18
hypergraphs_36.dtl,2,0.29
hypergraphs_37.dtl,2,0.26
hypergraphs_38.dtl,2,0.27
hypergraphs_39.dtl,2,0.3
hypergraphs_3.dtl,2,0.29
hypergraphs_40.dtl,2,0.24
hypergraphs_41.dtl,2,0.22
hypergraphs_42.dtl,2,0.22
hypergraphs_43.dtl,2,0.24
hypergraphs_44.dtl,2,0.22
hypergraphs_45.dtl,2,0.21
hypergraphs_46.dtl,2,0.19
hypergraphs_47.dtl,2,0.26
hypergraphs_48.dtl,2,0.22
hypergraphs_49.dtl,2,0.26
hypergraphs_4.dtl,2,0.3
hypergraphs_50.dtl,2,0.13
hypergraphs_51.dtl,2,0.25
hypergraphs_52.dtl,2,0.27
hypergraphs_53.dtl,2,0.24
hypergraphs_54.dtl,2,0.29
hypergraphs_55.dtl,2,0.28
hypergraphs_56.dtl,2,0.25
hypergraphs_57.dtl,2,0.27
hypergraphs_58.dtl,2,0.25
hypergraphs_59.dtl,2,0.24
hypergraphs_5.dtl,2,0.25
hypergraphs_60.dtl,2,0.22
hypergraphs_61.dtl,2,0.32
