instance,tw,info_mf_n,info_mf_kn,triang_mf,info_mf_phase,info_mf_minseps,info_mf_pmcs
named-graphs_AhrensSzekeresGeneralizedQuadrangleGraph_3.gr,135,27,27,0.15,4,54,297
named-graphs_Balaban10Cage.gr,-1,70,70,MO,2,536858328,0
named-graphs_Balaban11Cage.gr,-1,112,112,MO,2,486092719,0
named-graphs_BalancedTree_3_5.gr,0,364,0,0.15,1,0,0
named-graphs_BarbellGraph_10_5.gr,0,25,0,0.01,1,0,0
named-graphs_BidiakisCube.gr,15,12,12,0.02,4,68,254
named-graphs_BiggsSmithGraph.gr,-1,102,102,MO,2,455596645,0
named-graphs_BlanusaFirstSnarkGraph.gr,30,18,18,0.05,4,319,2009
named-graphs_BlanusaSecondSnarkGraph.gr,30,18,18,0.05,4,268,1618
named-graphs_BrinkmannGraph.gr,59,21,21,0.11,4,680,4417
named-graphs_BrouwerHaemersGraph.gr,-1,81,81,TO,3,109393608,0
named-graphs_BubbleSortGraph_5.gr,-1,120,120,MO,2,532673113,0
named-graphs_BuckyBall.gr,-1,60,60,TO,3,40578462,0
named-graphs_CameronGraph.gr,-1,231,231,MO,2,493272326,0
named-graphs_Cell120.gr,-1,600,600,TO,2,98241754,0
named-graphs_ChvatalGraph.gr,19,12,12,0.01,4,32,90
named-graphs_CirculantGraph_20_5.gr,5,20,0,0.01,1,0,0
named-graphs_CircularLadderGraph_20.gr,70,40,40,0.31,4,1490,23920
named-graphs_ClebschGraph.gr,40,16,16,0.01,4,26,96
named-graphs_CompleteBipartiteGraph_25_20.gr,190,45,45,0.05,4,2,0
named-graphs_CompleteGraph_15.gr,0,15,0,0.01,1,0,0
named-graphs_CoxeterGraph.gr,69,28,28,3.48,4,14155,185724
named-graphs_CubeGraph_6.gr,-1,64,64,MO,2,572610724,0
named-graphs_CycleGraph_100.gr,97,100,0,0.01,1,0,0
named-graphs_DejterGraph.gr,-1,112,112,MO,2,486091144,0
named-graphs_DesarguesGraph.gr,39,20,20,0.14,4,895,6670
named-graphs_DodecahedralGraph.gr,39,20,20,0.14,4,1002,7250
named-graphs_DorogovtsevGoltsevMendesGraph.gr,0,3282,0,0.16,1,0,0
named-graphs_DoubleStarSnark.gr,70,30,30,3.33,4,12942,181459
named-graphs_DurerGraph.gr,14,12,12,0.02,4,53,180
named-graphs_DyckGraph.gr,84,32,32,26.78,4,67908,995700
named-graphs_EllinghamHorton54Graph.gr,124,54,54,235.89,4,173985,8513891
named-graphs_EllinghamHorton78Graph.gr,-1,78,78,TO,3,38926165,0
named-graphs_ErreraGraph.gr,33,17,17,0.03,4,218,992
named-graphs_F26AGraph.gr,61,26,26,1.32,4,7189,79703
named-graphs_FibonacciTree_10.gr,0,143,0,0.01,1,0,0
named-graphs_FlowerSnark.gr,40,20,20,0.12,4,876,7185
named-graphs_FoldedCubeGraph_7.gr,-1,64,64,MO,2,572626999,0
named-graphs_FolkmanGraph.gr,39,20,20,0.02,4,100,405
named-graphs_FosterGraph.gr,-1,90,90,MO,2,539439380,0
named-graphs_FranklinGraph.gr,15,12,12,0.01,4,39,148
named-graphs_FriendshipGraph_10.gr,0,21,0,0.01,1,0,0
named-graphs_FruchtGraph.gr,12,12,12,0.01,4,57,200
named-graphs_GeneralizedPetersenGraph_10_4.gr,39,20,20,0.09,4,627,4190
named-graphs_GoethalsSeidelGraph_2_3.gr,30,16,16,0.01,4,52,16
named-graphs_GoldnerHararyGraph.gr,0,11,0,0.01,1,0,0
named-graphs_GossetGraph.gr,650,56,56,84.14,4,197786,1360352
named-graphs_GrayGraph.gr,-1,54,54,TO,3,133539546,0
named-graphs_Grid2dGraph_20_40.gr,-1,800,796,TO,2,61447930,0
named-graphs_Grid2dGraph_5_5.gr,37,25,21,0.06,4,427,2767
named-graphs_GrotzschGraph.gr,10,11,11,0.01,4,21,10
named-graphs_HallJankoGraph.gr,-1,100,100,TO,2,210945244,0
named-graphs_HanoiTowerGraph_4_3.gr,-1,64,60,TO,3,31097421,0
named-graphs_HararyGraph_6_15.gr,24,15,15,0.02,4,60,165
named-graphs_HarborthGraph.gr,96,52,52,22.68,4,52942,998627
named-graphs_HarriesGraph.gr,-1,70,70,MO,2,650662610,0
named-graphs_HarriesWongGraph.gr,-1,70,70,MO,2,650670407,0
named-graphs_HeawoodGraph.gr,21,14,14,0.02,4,49,240
named-graphs_HerschelGraph.gr,9,11,11,0.01,4,39,55
named-graphs_HexahedralGraph.gr,6,8,8,0.01,4,14,8
named-graphs_HigmanSimsGraph.gr,-1,100,100,MO,2,455567866,0
named-graphs_HoffmanGraph.gr,27,16,16,0.02,4,208,884
named-graphs_HoffmanSingletonGraph.gr,-1,50,50,TO,3,14830552,0
named-graphs_HoltGraph.gr,90,27,27,1.87,4,10776,99801
named-graphs_HortonGrap.gr,-1,96,96,TO,2,528543909,0
named-graphs_HouseGraph.gr,1,5,0,0.01,1,0,0
named-graphs_HouseXGraph.gr,0,5,0,0.01,1,0,0
named-graphs_HyperStarGraph_10_2.gr,36,45,0,0.01,1,0,0
named-graphs_HyperStarGraph_10_5.gr,-1,252,252,TO,2,438316426,0
named-graphs_IcosahedralGraph.gr,19,12,12,0.01,4,52,162
named-graphs_JohnsonGraph_10_4.gr,-1,210,210,MO,2,455493789,0
named-graphs_JohnsonGraph_8_2.gr,140,28,28,0.19,4,119,966
named-graphs_KittellGraph.gr,51,23,23,0.2,4,902,4539
named-graphs_Klein3RegularGraph.gr,-1,56,56,MO,3,261055428,0
named-graphs_Klein7RegularGraph.gr,98,24,24,0.34,4,1830,11994
named-graphs_KneserGraph_10_2.gr,252,45,45,0.06,4,255,45
named-graphs_KneserGraph_8_3.gr,-1,56,56,TO,3,23366134,0
named-graphs_KrackhardtKiteGraph.gr,1,10,0,0.01,1,0,0
named-graphs_LadderGraph_20.gr,19,40,0,0.04,1,0,0
named-graphs_LjubljanaGraph.gr,-1,112,112,MO,2,486102979,0
named-graphs_LollipopGraph_7_5.gr,0,12,0,0.04,1,0,0
named-graphs_M22Graph.gr,-1,77,77,TO,2,254459910,0
named-graphs_MarkstroemGraph.gr,32,24,24,0.19,4,1068,11601
named-graphs_McGeeGraph.gr,55,24,24,0.48,4,2719,30522
named-graphs_MeredithGraph.gr,145,70,70,153.68,4,140454,4703470
named-graphs_MoebiusKantorGraph.gr,27,16,16,0.05,4,192,1152
named-graphs_MoserSpindle.gr,2,7,0,0.01,1,0,0
named-graphs_NKStarGraph_5_3.gr,-1,60,60,MO,2,552331770,0
named-graphs_NKStarGraph_8_2.gr,-1,56,56,TO,3,4244472,0
named-graphs_NStarGraph_5.gr,-1,120,120,MO,2,532662592,0
named-graphs_NauruGraph.gr,52,24,24,0.64,4,3685,38648
named-graphs_NonisotropicOrthogonalPolarGraph_3_5.gr,30,15,15,0.01,4,25,75
named-graphs_NonisotropicUnitaryPolarGraph_3_3.gr,756,63,63,16.87,4,49539,319431
named-graphs_OctahedralGraph.gr,2,6,6,0.01,4,3,0
named-graphs_OddGraph_3.gr,12,10,10,0.01,4,15,40
named-graphs_OddGraph_4.gr,135,35,35,108.3,4,223602,3216269
named-graphs_OddGraph_5.gr,-1,126,126,MO,2,552280972,0
named-graphs_OrthogonalArrayBlockGraph_4_3.gr,0,9,0,0.01,1,0,0
named-graphs_OrthogonalPolarGraph_5_2.gr,30,15,15,0.02,4,30,105
named-graphs_PaleyGraph_17.gr,44,17,17,0.02,4,85,255
named-graphs_PappusGraph.gr,33,18,18,0.06,4,321,2034
named-graphs_PasechnikGraph_1.gr,0,9,0,0.01,1,0,0
named-graphs_PasechnikGraph_2.gr,534,49,49,39.14,4,108143,885822
named-graphs_PasechnikGraph_3.gr,-1,121,121,TO,2,236184400,0
named-graphs_PathGraph_100.gr,0,100,0,0.01,1,0,0
named-graphs_PerkelGraph.gr,-1,57,57,TO,2,623913952,0
named-graphs_PetersenGraph.gr,12,10,10,0.02,4,15,40
named-graphs_PoussinGraph.gr,23,15,15,0.04,4,112,325
named-graphs_RingedTree_10.gr,-1,1023,1022,TO,2,35481443,0
named-graphs_RingedTree_6.gr,168,63,62,237.4,4,212821,9523296
named-graphs_RingedTree_8.gr,-1,255,254,TO,2,299560411,0
named-graphs_RobertsonGraph.gr,48,19,19,0.06,4,248,1480
named-graphs_SchlaefliGraph.gr,108,27,27,0.07,4,603,2619
named-graphs_ShrikhandeGraph.gr,38,16,16,0.02,4,134,600
