instance,tw,triang_mf,mccp,yasu
named-graphs_AhrensSzekeresGeneralizedQuadrangleGraph_3.gr,135,0.15,126.19,26.14
named-graphs_Balaban10Cage.gr,-1,MO,TO,TO
named-graphs_Balaban11Cage.gr,-1,MO,TO,TO
named-graphs_BalancedTree_3_5.gr,0,0.15,RTE,193.5
named-graphs_BarbellGraph_10_5.gr,0,0.01,125.89,193.48
named-graphs_BidiakisCube.gr,15,0.02,201.8,314.21
named-graphs_BiggsSmithGraph.gr,-1,MO,TO,TO
named-graphs_BlanusaFirstSnarkGraph.gr,30,0.05,227.3,51.09
named-graphs_BlanusaSecondSnarkGraph.gr,30,0.05,50.14,51.07
named-graphs_BrinkmannGraph.gr,59,0.11,50.15,97.65
named-graphs_BrouwerHaemersGraph.gr,-1,TO,TO,TO
named-graphs_BubbleSortGraph_5.gr,-1,MO,TO,TO
named-graphs_BuckyBall.gr,-1,TO,TO,TO
named-graphs_CameronGraph.gr,-1,MO,RTE,TO
named-graphs_Cell120.gr,-1,TO,RTE,TO
named-graphs_ChvatalGraph.gr,19,0.01,75.43,TO
named-graphs_CirculantGraph_20_5.gr,5,0.01,0.01,TO
named-graphs_CircularLadderGraph_20.gr,70,0.31,TO,266.29
named-graphs_ClebschGraph.gr,40,0.01,0.03,264.91
named-graphs_CompleteBipartiteGraph_25_20.gr,190,0.05,0.68,122.52
named-graphs_CompleteGraph_15.gr,0,0.01,0.01,264.81
named-graphs_CoxeterGraph.gr,69,3.48,TO,554.56
named-graphs_CubeGraph_6.gr,-1,MO,TO,TO
named-graphs_CycleGraph_100.gr,97,0.01,25.33,122.39
named-graphs_DejterGraph.gr,-1,MO,TO,TO
named-graphs_DesarguesGraph.gr,39,0.14,346.04,492.21
named-graphs_DodecahedralGraph.gr,39,0.14,TO,492.05
named-graphs_DorogovtsevGoltsevMendesGraph.gr,0,0.16,RTE,491.66
named-graphs_DoubleStarSnark.gr,70,3.33,TO,207.73
named-graphs_DurerGraph.gr,14,0.02,125.9,459.42
named-graphs_DyckGraph.gr,84,26.78,TO,566.35
named-graphs_EllinghamHorton54Graph.gr,124,235.89,TO,TO
named-graphs_EllinghamHorton78Graph.gr,-1,TO,TO,TO
named-graphs_ErreraGraph.gr,33,0.03,125.92,358.46
named-graphs_F26AGraph.gr,61,1.32,TO,125.04
named-graphs_FibonacciTree_10.gr,0,0.01,49.92,103.84
named-graphs_FlowerSnark.gr,40,0.12,151.26,151.46
named-graphs_FoldedCubeGraph_7.gr,-1,MO,TO,TO
named-graphs_FolkmanGraph.gr,39,0.02,49.92,474.56
named-graphs_FosterGraph.gr,-1,MO,TO,TO
named-graphs_FranklinGraph.gr,15,0.01,75.3,474.73
named-graphs_FriendshipGraph_10.gr,0,0.01,75.29,0.25
named-graphs_FruchtGraph.gr,12,0.01,75.28,281.16
named-graphs_GeneralizedPetersenGraph_10_4.gr,39,0.09,119.15,3.98
named-graphs_GoethalsSeidelGraph_2_3.gr,30,0.01,240.47,0.36
named-graphs_GoldnerHararyGraph.gr,0,0.01,68.47,0.25
named-graphs_GossetGraph.gr,650,84.14,TO,85.41000000000001
named-graphs_GrayGraph.gr,-1,TO,TO,TO
named-graphs_Grid2dGraph_20_40.gr,-1,TO,RTE,TO
named-graphs_Grid2dGraph_5_5.gr,37,0.06,220.31,4.4
named-graphs_GrotzschGraph.gr,10,0.01,43.09,147.62
named-graphs_HallJankoGraph.gr,-1,TO,TO,TO
named-graphs_HanoiTowerGraph_4_3.gr,-1,TO,TO,TO
named-graphs_HararyGraph_6_15.gr,24,0.02,0.8,326.82
named-graphs_HarborthGraph.gr,96,22.68,TO,719.84
named-graphs_HarriesGraph.gr,-1,MO,TO,TO
named-graphs_HarriesWongGraph.gr,-1,MO,TO,TO
named-graphs_HeawoodGraph.gr,21,0.02,21.32,313.6
named-graphs_HerschelGraph.gr,9,0.01,21.34,0.31
named-graphs_HexahedralGraph.gr,6,0.01,71.9,0.28
named-graphs_HigmanSimsGraph.gr,-1,MO,TO,TO
named-graphs_HoffmanGraph.gr,27,0.02,0.26,4.5
named-graphs_HoffmanSingletonGraph.gr,-1,TO,TO,TO
named-graphs_HoltGraph.gr,90,1.87,TO,273.9
named-graphs_HortonGrap.gr,-1,TO,TO,TO
named-graphs_HouseGraph.gr,1,0.01,10.13,211.47
named-graphs_HouseXGraph.gr,0,0.01,10.08,0.26
named-graphs_HyperStarGraph_10_2.gr,36,0.01,86.01,0.29000000000000004
named-graphs_HyperStarGraph_10_5.gr,-1,TO,RTE,TO
named-graphs_IcosahedralGraph.gr,19,0.01,0.37,0.39
named-graphs_JohnsonGraph_10_4.gr,-1,MO,RTE,TO
named-graphs_JohnsonGraph_8_2.gr,140,0.19,0.04,141.27
named-graphs_KittellGraph.gr,51,0.2,247.98,141.58
named-graphs_Klein3RegularGraph.gr,-1,MO,TO,TO
named-graphs_Klein7RegularGraph.gr,98,0.34,TO,4.470000000000001
named-graphs_KneserGraph_10_2.gr,252,0.06,194.94,0.7999999999999999
named-graphs_KneserGraph_8_3.gr,525,TO,2201.87,TO
named-graphs_KrackhardtKiteGraph.gr,1,0.01,72.77,144.87
named-graphs_LadderGraph_20.gr,19,0.04,98.01,0.26
named-graphs_LjubljanaGraph.gr,-1,MO,TO,TO
named-graphs_LollipopGraph_7_5.gr,0,0.04,143.54,8.51
named-graphs_M22Graph.gr,-1,TO,TO,TO
named-graphs_MarkstroemGraph.gr,32,0.19,1149.27,0.31
named-graphs_McGeeGraph.gr,55,0.48,1957.38,9.5
named-graphs_MeredithGraph.gr,145,153.68,TO,TO
named-graphs_MoebiusKantorGraph.gr,27,0.05,1.12,77.73
named-graphs_MoserSpindle.gr,2,0.01,0.01,0.25
named-graphs_NKStarGraph_5_3.gr,-1,MO,TO,TO
named-graphs_NKStarGraph_8_2.gr,308,TO,TO,0.8999999999999999
named-graphs_NStarGraph_5.gr,-1,MO,TO,TO
named-graphs_NauruGraph.gr,52,0.64,1854.28,14.83
