instance,char_rem,n,kn,time,phase,minseps,pmcs
phylogeny_ms_bin_exp1_n_100_0.phy,8,140,129,0.11,4,148,410
phylogeny_ms_bin_exp1_n_1000_0.phy,-1,1394,1139,TO,4,264469,2707072
phylogeny_ms_bin_exp1_n_1000_10.phy,134,1522,1203,798.87,4,49125,496199
phylogeny_ms_bin_exp1_n_1000_11.phy,-1,1580,1363,TO,3,242426,86
phylogeny_ms_bin_exp1_n_1000_12.phy,179,1494,1240,184.32,4,8120,66854
phylogeny_ms_bin_exp1_n_1000_13.phy,-1,1456,1281,TO,2,4000007,102
phylogeny_ms_bin_exp1_n_1000_14.phy,233,1558,1251,2102.87,4,115080,1805068
phylogeny_ms_bin_exp1_n_1000_15.phy,-1,1358,1167,TO,2,2189794,42
phylogeny_ms_bin_exp1_n_1000_16.phy,-1,1566,1422,TO,2,1224036,0
phylogeny_ms_bin_exp1_n_1000_17.phy,-1,1430,1219,TO,2,1626514,91
phylogeny_ms_bin_exp1_n_1000_18.phy,147,1542,1221,1220.71,4,57716,846139
phylogeny_ms_bin_exp1_n_1000_19.phy,-1,1548,1350,TO,3,831674,21
phylogeny_ms_bin_exp1_n_1000_1.phy,-1,1434,1175,TO,2,4133006,42
phylogeny_ms_bin_exp1_n_1000_2.phy,184,1590,1404,823.54,4,42031,497251
phylogeny_ms_bin_exp1_n_1000_3.phy,-1,1592,1459,TO,2,2620047,18
phylogeny_ms_bin_exp1_n_1000_4.phy,-1,1606,1422,TO,3,569282,43
phylogeny_ms_bin_exp1_n_1000_5.phy,-1,1664,1485,TO,2,1675105,226
phylogeny_ms_bin_exp1_n_1000_6.phy,105,1422,1172,1208.67,4,77655,847852
phylogeny_ms_bin_exp1_n_1000_7.phy,-1,1586,1353,TO,2,8719660,130
phylogeny_ms_bin_exp1_n_1000_8.phy,-1,1564,1257,TO,2,3385589,246
phylogeny_ms_bin_exp1_n_1000_9.phy,-1,1670,1457,TO,2,3379182,97
phylogeny_ms_bin_exp1_n_100_10.phy,18,136,124,0.14,4,255,1051
phylogeny_ms_bin_exp1_n_100_11.phy,19,126,109,0.08,4,81,201
phylogeny_ms_bin_exp1_n_100_12.phy,19,136,122,0.13,4,255,773
phylogeny_ms_bin_exp1_n_100_13.phy,14,138,115,0.09,4,84,165
phylogeny_ms_bin_exp1_n_100_14.phy,9,122,115,0.08,4,76,174
phylogeny_ms_bin_exp1_n_100_15.phy,1,98,64,0.09,4,35,76
phylogeny_ms_bin_exp1_n_100_16.phy,19,138,127,0.33,4,1143,6490
phylogeny_ms_bin_exp1_n_100_17.phy,16,124,114,0.11,4,238,826
phylogeny_ms_bin_exp1_n_100_18.phy,9,140,125,0.09,4,98,238
phylogeny_ms_bin_exp1_n_100_19.phy,32,140,134,0.61,4,2265,12335
phylogeny_ms_bin_exp1_n_100_1.phy,13,150,136,0.12,4,143,469
phylogeny_ms_bin_exp1_n_100_2.phy,17,152,144,0.15,4,303,1036
phylogeny_ms_bin_exp1_n_100_3.phy,11,102,89,0.07,4,126,356
phylogeny_ms_bin_exp1_n_100_4.phy,20,162,154,0.29,4,766,3762
phylogeny_ms_bin_exp1_n_100_5.phy,21,156,153,0.16,4,277,840
phylogeny_ms_bin_exp1_n_100_6.phy,4,118,93,0.07,4,92,261
phylogeny_ms_bin_exp1_n_100_7.phy,9,150,140,0.1,4,72,154
phylogeny_ms_bin_exp1_n_100_8.phy,17,128,110,0.09,4,120,325
phylogeny_ms_bin_exp1_n_100_9.phy,17,136,129,0.11,4,154,392
phylogeny_ms_bin_exp1_n_1100_0.phy,223,1696,1424,2222.8,4,76589,805673
phylogeny_ms_bin_exp1_n_1100_10.phy,-1,1750,1520,TO,3,207496,76
phylogeny_ms_bin_exp1_n_1100_11.phy,-1,1654,1449,TO,3,611449,176
phylogeny_ms_bin_exp1_n_1100_12.phy,-1,1740,1419,TO,2,7518167,168
phylogeny_ms_bin_exp1_n_1100_13.phy,-1,1592,1307,TO,2,4801721,338
phylogeny_ms_bin_exp1_n_1100_14.phy,-1,1680,1463,TO,2,1281573,29
phylogeny_ms_bin_exp1_n_1100_15.phy,-1,1660,1392,TO,2,1330019,96
phylogeny_ms_bin_exp1_n_1100_16.phy,-1,1696,1438,TO,2,1147051,195
phylogeny_ms_bin_exp1_n_1100_17.phy,-1,1664,1427,TO,2,2941019,33
