instance,char_rem,minsep_ip,triang,bin_ip
phylogeny_ms_bin_exp1_n_100_0.phy,8,1.36,0.11,0.08
phylogeny_ms_bin_exp1_n_1000_0.phy,184,TO,TO,23.36
phylogeny_ms_bin_exp1_n_1000_10.phy,134,TO,798.87,27.02
phylogeny_ms_bin_exp1_n_1000_11.phy,223,TO,TO,29.34
phylogeny_ms_bin_exp1_n_1000_12.phy,179,TO,184.32,25.41
phylogeny_ms_bin_exp1_n_1000_13.phy,248,TO,TO,23.71
phylogeny_ms_bin_exp1_n_1000_14.phy,233,TO,2102.87,29.94
phylogeny_ms_bin_exp1_n_1000_15.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1000_16.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1000_17.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1000_18.phy,147,TO,1220.71,MO
phylogeny_ms_bin_exp1_n_1000_19.phy,236,TO,TO,26.02
phylogeny_ms_bin_exp1_n_1000_1.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1000_2.phy,184,TO,823.54,MO
phylogeny_ms_bin_exp1_n_1000_3.phy,303,TO,TO,42.83
phylogeny_ms_bin_exp1_n_1000_4.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1000_5.phy,275,TO,TO,31.86
phylogeny_ms_bin_exp1_n_1000_6.phy,105,TO,1208.67,21.62
phylogeny_ms_bin_exp1_n_1000_7.phy,285,TO,TO,30.45
phylogeny_ms_bin_exp1_n_1000_8.phy,165,TO,TO,27.65
phylogeny_ms_bin_exp1_n_1000_9.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_100_10.phy,18,7.07,0.14,0.41000000000000003
phylogeny_ms_bin_exp1_n_100_11.phy,19,0.3,0.08,0.08
phylogeny_ms_bin_exp1_n_100_12.phy,19,6.65,0.13,0.12000000000000001
phylogeny_ms_bin_exp1_n_100_13.phy,14,0.18,0.09,0.13
phylogeny_ms_bin_exp1_n_100_14.phy,9,0.29,0.08,0.39
phylogeny_ms_bin_exp1_n_100_15.phy,1,0.12,0.09,0.12
phylogeny_ms_bin_exp1_n_100_16.phy,19,373.32,0.33,0.41
phylogeny_ms_bin_exp1_n_100_17.phy,16,3.25,0.11,0.4
phylogeny_ms_bin_exp1_n_100_18.phy,9,0.27,0.09,0.14
phylogeny_ms_bin_exp1_n_100_19.phy,32,TO,0.61,0.46
phylogeny_ms_bin_exp1_n_100_1.phy,13,1.17,0.12,0.42
phylogeny_ms_bin_exp1_n_100_2.phy,17,12.27,0.15,0.14
phylogeny_ms_bin_exp1_n_100_3.phy,11,0.68,0.07,0.12
phylogeny_ms_bin_exp1_n_100_4.phy,20,100.39,0.29,0.54
phylogeny_ms_bin_exp1_n_100_5.phy,21,4.84,0.16,0.51
phylogeny_ms_bin_exp1_n_100_6.phy,4,0.2,0.07,0.11
phylogeny_ms_bin_exp1_n_100_7.phy,9,0.18,0.1,0.17
phylogeny_ms_bin_exp1_n_100_8.phy,17,1.05,0.09,0.18
phylogeny_ms_bin_exp1_n_100_9.phy,17,2.27,0.11,0.12
phylogeny_ms_bin_exp1_n_1100_0.phy,223,TO,2222.8,MO
phylogeny_ms_bin_exp1_n_1100_10.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1100_11.phy,139,TO,TO,33.7
phylogeny_ms_bin_exp1_n_1100_12.phy,227,TO,TO,33.6
phylogeny_ms_bin_exp1_n_1100_13.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1100_14.phy,184,TO,TO,31.0
phylogeny_ms_bin_exp1_n_1100_15.phy,186,TO,TO,31.87
phylogeny_ms_bin_exp1_n_1100_16.phy,251,TO,TO,32.49
phylogeny_ms_bin_exp1_n_1100_17.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1100_18.phy,186,TO,1791.59,MO
phylogeny_ms_bin_exp1_n_1100_19.phy,279,TO,TO,43.29
phylogeny_ms_bin_exp1_n_1100_1.phy,289,TO,TO,40.13
phylogeny_ms_bin_exp1_n_1100_2.phy,267,TO,TO,33.79
phylogeny_ms_bin_exp1_n_1100_3.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1100_4.phy,208,TO,TO,32.87
phylogeny_ms_bin_exp1_n_1100_5.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1100_6.phy,96,TO,941.23,28.43
phylogeny_ms_bin_exp1_n_1100_7.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1100_8.phy,163,TO,TO,45.56
phylogeny_ms_bin_exp1_n_1100_9.phy,279,TO,TO,40.82
phylogeny_ms_bin_exp1_n_1200_0.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1200_10.phy,250,TO,TO,44.94
phylogeny_ms_bin_exp1_n_1200_11.phy,196,TO,1070.9,40.33
phylogeny_ms_bin_exp1_n_1200_12.phy,258,TO,TO,53.25
phylogeny_ms_bin_exp1_n_1200_13.phy,317,TO,TO,57.19
phylogeny_ms_bin_exp1_n_1200_14.phy,125,TO,2763.03,51.1
phylogeny_ms_bin_exp1_n_1200_15.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1200_16.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1200_17.phy,407,TO,TO,43.45
phylogeny_ms_bin_exp1_n_1200_18.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1200_19.phy,185,TO,TO,36.01
phylogeny_ms_bin_exp1_n_1200_1.phy,241,TO,TO,42.84
phylogeny_ms_bin_exp1_n_1200_2.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1200_3.phy,207,TO,TO,43.49
phylogeny_ms_bin_exp1_n_1200_4.phy,283,TO,3502.81,MO
phylogeny_ms_bin_exp1_n_1200_5.phy,256,TO,TO,43.43
phylogeny_ms_bin_exp1_n_1200_6.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1200_7.phy,264,TO,TO,48.08
phylogeny_ms_bin_exp1_n_1200_8.phy,124,TO,369.85,MO
phylogeny_ms_bin_exp1_n_1200_9.phy,217,TO,TO,51.62
phylogeny_ms_bin_exp1_n_1300_0.phy,288,TO,TO,62.61
phylogeny_ms_bin_exp1_n_1300_10.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1300_11.phy,373,TO,TO,60.62
phylogeny_ms_bin_exp1_n_1300_12.phy,312,TO,TO,62.5
phylogeny_ms_bin_exp1_n_1300_13.phy,254,TO,TO,53.09
phylogeny_ms_bin_exp1_n_1300_14.phy,315,TO,TO,75.01
phylogeny_ms_bin_exp1_n_1300_15.phy,253,TO,TO,56.92
phylogeny_ms_bin_exp1_n_1300_16.phy,239,1732.82,170.06,MO
phylogeny_ms_bin_exp1_n_1300_17.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1300_18.phy,76,3143.3,181.79,47.29
phylogeny_ms_bin_exp1_n_1300_19.phy,180,TO,TO,47.4
phylogeny_ms_bin_exp1_n_1300_1.phy,178,TO,1964.7199999999998,MO
phylogeny_ms_bin_exp1_n_1300_2.phy,226,TO,TO,54.67
phylogeny_ms_bin_exp1_n_1300_3.phy,287,TO,2346.5,64.56
phylogeny_ms_bin_exp1_n_1300_4.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1300_5.phy,179,TO,822.72,54.11
phylogeny_ms_bin_exp1_n_1300_6.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1300_7.phy,124,TO,326.36,58.6
phylogeny_ms_bin_exp1_n_1300_8.phy,337,TO,TO,60.31
phylogeny_ms_bin_exp1_n_1300_9.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1400_0.phy,-1,TO,TO,MO
phylogeny_ms_bin_exp1_n_1400_10.phy,289,TO,TO,105.49
phylogeny_ms_bin_exp1_n_1400_11.phy,272,TO,TO,69.48
