instance,char_rem,n,kn,time,phase,minseps,pmcs
phylogeny_real_alcataenia.phy,5,21,21,0.06,4,11,19
phylogeny_real_chinese.phy,6,30,30,0.08,4,17,38
phylogeny_real_indo.phy,13,864,836,2033.05,4,21594,407354
phylogeny_real_indo-pp.phy,6,43,43,0.04,4,35,107
phylogeny_real_mammals.phy,78,245,245,0.88,4,56,301
phylogeny_ms_exp1_k_10_0.phy,83,1431,842,192.56,4,2703,26538
phylogeny_ms_exp1_k_10_10.phy,79,1441,657,44.09,4,1070,7661
phylogeny_ms_exp1_k_10_11.phy,71,1377,811,28.69,4,870,5599
phylogeny_ms_exp1_k_10_12.phy,99,1459,858,95.64,4,1654,12151
phylogeny_ms_exp1_k_10_13.phy,10,1349,269,1.49,4,32,76
phylogeny_ms_exp1_k_10_14.phy,111,1065,787,297.42,4,3602,34460
phylogeny_ms_exp1_k_10_15.phy,95,1419,822,271.45000000000005,4,4332,43269
phylogeny_ms_exp1_k_10_16.phy,71,1156,641,43.41,4,1430,12043
phylogeny_ms_exp1_k_10_17.phy,87,1365,646,80.34,4,1717,12584
phylogeny_ms_exp1_k_10_18.phy,106,1387,803,882.16,4,6093,69893
phylogeny_ms_exp1_k_10_19.phy,101,1388,791,149.70999999999998,4,2507,20479
phylogeny_ms_exp1_k_10_1.phy,34,1313,617,4.95,4,335,1639
phylogeny_ms_exp1_k_10_2.phy,76,1420,825,113.53,4,1825,15988
phylogeny_ms_exp1_k_10_3.phy,46,1190,687,13.49,4,709,5463
phylogeny_ms_exp1_k_10_4.phy,42,1124,392,1.97,4,113,352
phylogeny_ms_exp1_k_10_5.phy,33,1327,725,14.61,4,561,4351
phylogeny_ms_exp1_k_10_6.phy,91,1295,859,89.37,4,1663,15550
phylogeny_ms_exp1_k_10_7.phy,80,1249,731,57.1,4,1225,10197
phylogeny_ms_exp1_k_10_8.phy,69,1357,752,14.19,4,417,2456
phylogeny_ms_exp1_k_10_9.phy,-1,1321,833,TO,4,34469,647172
phylogeny_ms_exp1_k_12_0.phy,57,1427,722,7.65,4,310,1374
phylogeny_ms_exp1_k_12_10.phy,71,1532,915,496.09,4,6665,77495
phylogeny_ms_exp1_k_12_11.phy,133,1674,857,1967.8999999999999,4,9922,120801
phylogeny_ms_exp1_k_12_12.phy,91,1659,951,1564.39,4,11249,160858
phylogeny_ms_exp1_k_12_13.phy,93,1697,1025,760.44,4,5748,65993
phylogeny_ms_exp1_k_12_14.phy,67,1507,806,21.4,4,676,4063
