instance,tw,gus_ip,triang_phyl_maxcomp,binred_ip_pp
phylogeny_real_alcataenia.phy,5,0.11,0.06,0.28
phylogeny_real_chinese.phy,6,0.07,0.08,0.28
phylogeny_real_indo.phy,13,TO,2033.05,1.76
phylogeny_real_indo-pp.phy,6,0.26,0.04,0.13
phylogeny_real_mammals.phy,78,2.62,0.88,0.25
phylogeny_ms_exp1_k_10_0.phy,83,TO,192.56,TO
phylogeny_ms_exp1_k_10_10.phy,79,422.61,44.09,734.15
phylogeny_ms_exp1_k_10_11.phy,71,230.73,28.69,TO
phylogeny_ms_exp1_k_10_12.phy,99,2292.26,95.64,1106.97
phylogeny_ms_exp1_k_10_13.phy,10,2.86,1.49,1056.83
phylogeny_ms_exp1_k_10_14.phy,111,TO,297.42,15.280000000000001
phylogeny_ms_exp1_k_10_15.phy,95,TO,271.45000000000005,TO
phylogeny_ms_exp1_k_10_16.phy,71,2567.77,43.41,17.48
phylogeny_ms_exp1_k_10_17.phy,87,1145.11,80.34,607.23
phylogeny_ms_exp1_k_10_18.phy,106,TO,882.16,TO
phylogeny_ms_exp1_k_10_19.phy,101,TO,149.70999999999998,TO
phylogeny_ms_exp1_k_10_1.phy,34,18.38,4.95,29.98
phylogeny_ms_exp1_k_10_2.phy,76,3232.1800000000003,113.53,19.95
phylogeny_ms_exp1_k_10_3.phy,46,93.71,13.49,163.8
phylogeny_ms_exp1_k_10_4.phy,42,3.65,1.97,TO
phylogeny_ms_exp1_k_10_5.phy,33,57.25,14.61,326.7
phylogeny_ms_exp1_k_10_6.phy,91,2634.53,89.37,TO
phylogeny_ms_exp1_k_10_7.phy,80,1025.2,57.1,157.46
phylogeny_ms_exp1_k_10_8.phy,69,60.58,14.19,TO
phylogeny_ms_exp1_k_10_9.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_12_0.phy,57,18.29,7.65,TO
phylogeny_ms_exp1_k_12_10.phy,71,TO,496.09,TO
phylogeny_ms_exp1_k_12_11.phy,133,TO,1967.8999999999999,MO
phylogeny_ms_exp1_k_12_12.phy,91,TO,1564.39,TO
phylogeny_ms_exp1_k_12_13.phy,93,TO,760.44,TO
phylogeny_ms_exp1_k_12_14.phy,67,177.27,21.4,TO
phylogeny_ms_exp1_k_12_15.phy,76,59.57,18.99,TO
phylogeny_ms_exp1_k_12_16.phy,59,TO,296.04,TO
phylogeny_ms_exp1_k_12_17.phy,100,TO,3549.74,MO
phylogeny_ms_exp1_k_12_18.phy,59,TO,93.18,1350.5700000000002
phylogeny_ms_exp1_k_12_19.phy,18,59.07,18.59,2152.33
phylogeny_ms_exp1_k_12_1.phy,22,105.46,16.13,36.13
phylogeny_ms_exp1_k_12_2.phy,77,TO,644.4699999999999,TO
phylogeny_ms_exp1_k_12_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_12_4.phy,59,220.51,37.32,TO
phylogeny_ms_exp1_k_12_5.phy,81,2435.1200000000003,84.22,14.06
phylogeny_ms_exp1_k_12_6.phy,51,489.42,41.53,TO
phylogeny_ms_exp1_k_12_7.phy,87,TO,650.99,TO
phylogeny_ms_exp1_k_12_8.phy,62,358.61,39.76,TO
phylogeny_ms_exp1_k_12_9.phy,30,109.43,10.98,MO
phylogeny_ms_exp1_k_14_0.phy,21,3.1,1.75,88.41
phylogeny_ms_exp1_k_14_10.phy,55,2315.79,119.13,614.3
phylogeny_ms_exp1_k_14_11.phy,27,269.35,41.79,TO
phylogeny_ms_exp1_k_14_12.phy,85,TO,614.12,1027.38
phylogeny_ms_exp1_k_14_13.phy,47,TO,151.14,TO
phylogeny_ms_exp1_k_14_14.phy,85,TO,652.12,TO
phylogeny_ms_exp1_k_14_15.phy,90,TO,313.21,TO
phylogeny_ms_exp1_k_14_16.phy,77,TO,451.49,TO
phylogeny_ms_exp1_k_14_17.phy,67,1021.51,68.86,TO
phylogeny_ms_exp1_k_14_18.phy,38,TO,246.01,TO
phylogeny_ms_exp1_k_14_19.phy,64,TO,1337.33,TO
phylogeny_ms_exp1_k_14_1.phy,30,274.53,14.06,TO
phylogeny_ms_exp1_k_14_2.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_14_3.phy,7,23.26,6.98,763.5699999999999
phylogeny_ms_exp1_k_14_4.phy,80,TO,197.92,134.29
phylogeny_ms_exp1_k_14_5.phy,77,TO,209.0,TO
phylogeny_ms_exp1_k_14_6.phy,90,TO,3224.36,TO
phylogeny_ms_exp1_k_14_7.phy,77,467.9,31.73,TO
phylogeny_ms_exp1_k_14_8.phy,64,TO,405.36999999999995,TO
phylogeny_ms_exp1_k_14_9.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_16_0.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_16_10.phy,84,TO,2871.1299999999997,TO
phylogeny_ms_exp1_k_16_11.phy,61,TO,2242.44,TO
phylogeny_ms_exp1_k_16_12.phy,50,9.88,3.73,3223.6
phylogeny_ms_exp1_k_16_13.phy,41,TO,243.73,TO
phylogeny_ms_exp1_k_16_14.phy,57,543.02,30.84,TO
phylogeny_ms_exp1_k_16_15.phy,7,5.94,4.11,393.62
phylogeny_ms_exp1_k_16_16.phy,65,TO,928.17,2389.89
phylogeny_ms_exp1_k_16_17.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_16_18.phy,46,TO,396.11,124.88
phylogeny_ms_exp1_k_16_19.phy,5,12.07,4.52,478.05
phylogeny_ms_exp1_k_16_1.phy,42,32.07,5.18,TO
phylogeny_ms_exp1_k_16_2.phy,89,TO,1269.06,TO
phylogeny_ms_exp1_k_16_3.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_16_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_16_5.phy,97,3035.13,117.63,TO
phylogeny_ms_exp1_k_16_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_16_7.phy,105,TO,538.12,109.1
phylogeny_ms_exp1_k_16_8.phy,73,TO,236.62,TO
phylogeny_ms_exp1_k_16_9.phy,65,TO,574.16,TO
phylogeny_ms_exp1_k_18_0.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_18_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_18_11.phy,26,TO,834.15,TO
phylogeny_ms_exp1_k_18_12.phy,57,1415.0700000000002,53.03,109.38
phylogeny_ms_exp1_k_18_13.phy,20,271.7,73.08,TO
phylogeny_ms_exp1_k_18_14.phy,57,TO,854.3199999999999,TO
phylogeny_ms_exp1_k_18_15.phy,65,753.51,27.94,TO
phylogeny_ms_exp1_k_18_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_18_17.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_18_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_18_19.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_18_1.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_18_2.phy,0,5.37,2.87,TO
phylogeny_ms_exp1_k_18_3.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_18_4.phy,64,TO,546.85,TO
phylogeny_ms_exp1_k_18_5.phy,5,32.84,21.14,MO
phylogeny_ms_exp1_k_18_6.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_18_7.phy,28,75.27,40.61,TO
phylogeny_ms_exp1_k_18_8.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_18_9.phy,30,TO,457.09,MO
phylogeny_ms_exp1_k_20_0.phy,71,TO,660.54,MO
phylogeny_ms_exp1_k_20_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_20_11.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_20_12.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_20_13.phy,33,TO,78.38,TO
phylogeny_ms_exp1_k_20_14.phy,44,TO,1107.01,TO
phylogeny_ms_exp1_k_20_15.phy,30,TO,103.55,216.15
phylogeny_ms_exp1_k_20_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_20_17.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_20_18.phy,50,252.34,24.46,TO
phylogeny_ms_exp1_k_20_19.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_20_1.phy,37,TO,1021.91,TO
phylogeny_ms_exp1_k_20_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_20_3.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_20_4.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_20_5.phy,30,14.07,19.05,TO
phylogeny_ms_exp1_k_20_6.phy,86,TO,2918.63,MO
phylogeny_ms_exp1_k_20_7.phy,29,2197.14,60.18,TO
phylogeny_ms_exp1_k_20_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_20_9.phy,35,964.72,57.28,TO
phylogeny_ms_exp1_k_2_0.phy,18,1.37,0.67,0.55
phylogeny_ms_exp1_k_2_10.phy,31,1.3,0.74,0.57
phylogeny_ms_exp1_k_2_11.phy,61,1.89,1.09,0.79
phylogeny_ms_exp1_k_2_12.phy,20,1.37,0.78,0.56
phylogeny_ms_exp1_k_2_13.phy,21,1.3,0.87,0.58
phylogeny_ms_exp1_k_2_14.phy,20,1.31,0.7,0.57
phylogeny_ms_exp1_k_2_15.phy,21,1.19,0.71,0.58
phylogeny_ms_exp1_k_2_16.phy,21,1.32,0.79,0.63
phylogeny_ms_exp1_k_2_17.phy,19,1.32,0.71,0.59
phylogeny_ms_exp1_k_2_18.phy,26,1.32,2.15,0.6
phylogeny_ms_exp1_k_2_19.phy,47,1.55,0.88,0.65
phylogeny_ms_exp1_k_2_1.phy,27,1.32,1.51,0.62
phylogeny_ms_exp1_k_22_0.phy,25,TO,130.83,TO
phylogeny_ms_exp1_k_22_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_22_11.phy,23,TO,1726.83,TO
phylogeny_ms_exp1_k_22_12.phy,101,TO,720.9,MO
phylogeny_ms_exp1_k_22_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_22_14.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_22_15.phy,37,TO,1554.44,TO
phylogeny_ms_exp1_k_22_16.phy,10,119.93,20.98,MO
phylogeny_ms_exp1_k_22_17.phy,72,TO,657.12,MO
phylogeny_ms_exp1_k_22_18.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_22_19.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_22_1.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_22_2.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_22_3.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_22_4.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_22_5.phy,35,50.04,26.26,TO
phylogeny_ms_exp1_k_22_6.phy,45,51.94,9.81,TO
phylogeny_ms_exp1_k_22_7.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_22_8.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_22_9.phy,25,TO,478.76,TO
phylogeny_ms_exp1_k_2_2.phy,48,1.88,0.98,0.57
phylogeny_ms_exp1_k_2_3.phy,25,1.3,1.37,0.69
phylogeny_ms_exp1_k_24_0.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_24_10.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_24_11.phy,3,752.13,109.87,MO
phylogeny_ms_exp1_k_24_12.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_24_13.phy,49,TO,338.16,TO
phylogeny_ms_exp1_k_24_14.phy,14,401.61,98.87,TO
phylogeny_ms_exp1_k_24_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_24_16.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_24_17.phy,14,TO,108.36,TO
phylogeny_ms_exp1_k_24_18.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_24_19.phy,27,259.54,37.35,TO
phylogeny_ms_exp1_k_24_1.phy,12,TO,1410.1899999999998,MO
phylogeny_ms_exp1_k_24_2.phy,25,TO,2958.58,TO
phylogeny_ms_exp1_k_24_3.phy,33,TO,648.61,TO
phylogeny_ms_exp1_k_24_4.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_24_5.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_24_6.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_24_7.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_24_8.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_24_9.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_2_4.phy,24,1.48,0.83,0.62
phylogeny_ms_exp1_k_2_5.phy,24,1.39,0.74,0.56
phylogeny_ms_exp1_k_26_0.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_26_10.phy,68,TO,559.43,TO
phylogeny_ms_exp1_k_26_11.phy,47,TO,1464.6299999999999,TO
phylogeny_ms_exp1_k_26_12.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_26_13.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_26_14.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_26_15.phy,-1,TO,TO,MO
phylogeny_ms_exp1_k_26_16.phy,8,533.06,40.42,MO
phylogeny_ms_exp1_k_26_17.phy,-1,TO,TO,TO
phylogeny_ms_exp1_k_26_18.phy,23,766.47,136.5,1157.62
phylogeny_ms_exp1_k_26_19.phy,75,TO,2256.17,MO
phylogeny_ms_exp1_k_26_1.phy,2,442.47,101.71,TO
phylogeny_ms_exp1_k_26_2.phy,49,TO,110.71,2015.53
