instance,has_pp,n,kn,time,phase,minseps,pmcs
phylogeny_ms_perf_exp1_n_40_0.phy,1,332,75,0.08,4,22,18
phylogeny_ms_perf_exp1_k_10_0.phy,1,3077,1206,19.41,4,113,16
phylogeny_ms_perf_exp1_k_10_10.phy,0,2973,1289,24.26,4,245,14
phylogeny_ms_perf_exp1_k_10_11.phy,0,3095,1146,19.28,4,203,15
phylogeny_ms_perf_exp1_k_10_12.phy,0,2783,0,6.55,1,0,0
phylogeny_ms_perf_exp1_k_10_13.phy,0,2941,1342,22.49,4,111,18
phylogeny_ms_perf_exp1_k_10_14.phy,0,2953,0,6.7,1,0,0
phylogeny_ms_perf_exp1_k_10_15.phy,1,2999,1023,15.81,4,77,19
phylogeny_ms_perf_exp1_k_10_16.phy,0,3065,1412,28.5,4,203,23
phylogeny_ms_perf_exp1_k_10_17.phy,0,3049,0,6.69,1,0,0
phylogeny_ms_perf_exp1_k_10_18.phy,0,2937,844,14.26,4,110,15
phylogeny_ms_perf_exp1_k_10_19.phy,0,2720,0,6.73,1,0,0
phylogeny_ms_perf_exp1_k_10_1.phy,0,3113,1436,51.23,4,1559,14
phylogeny_ms_perf_exp1_k_10_2.phy,0,2388,0,6.6,1,0,0
phylogeny_ms_perf_exp1_k_10_3.phy,0,3186,0,6.68,1,0,0
phylogeny_ms_perf_exp1_k_10_4.phy,0,2923,1063,17.01,4,57,17
phylogeny_ms_perf_exp1_k_10_5.phy,0,3012,0,7.14,1,0,0
phylogeny_ms_perf_exp1_k_10_6.phy,0,3012,1433,23.88,4,84,23
phylogeny_ms_perf_exp1_k_10_7.phy,0,3023,1569,50.27,4,637,12
phylogeny_ms_perf_exp1_k_10_8.phy,0,2836,1263,20.99,4,97,21
phylogeny_ms_perf_exp1_k_10_9.phy,1,3080,1314,26.97,4,186,24
phylogeny_ms_perf_exp1_k_12_0.phy,0,3703,1794,110.85,4,1316,18
phylogeny_ms_perf_exp1_k_12_10.phy,0,3462,0,6.86,1,0,0
phylogeny_ms_perf_exp1_k_12_11.phy,1,3438,1349,32.51,4,597,22
phylogeny_ms_perf_exp1_k_12_12.phy,0,2779,0,6.66,1,0,0
phylogeny_ms_perf_exp1_k_12_13.phy,0,3258,0,6.64,1,0,0
phylogeny_ms_perf_exp1_k_12_14.phy,0,3529,0,6.99,1,0,0
phylogeny_ms_perf_exp1_k_12_15.phy,1,2721,521,11.75,4,26,15
phylogeny_ms_perf_exp1_k_12_16.phy,1,3595,1932,84.0,4,616,36
phylogeny_ms_perf_exp1_k_12_17.phy,0,3635,1749,99.6,4,1103,26
phylogeny_ms_perf_exp1_k_12_18.phy,0,3690,0,6.96,1,0,0
phylogeny_ms_perf_exp1_k_12_19.phy,0,2915,976,15.36,4,68,12
phylogeny_ms_perf_exp1_k_12_1.phy,0,3415,0,6.67,1,0,0
phylogeny_ms_perf_exp1_k_12_2.phy,0,3648,0,6.99,1,0,0
phylogeny_ms_perf_exp1_k_12_3.phy,1,3454,1835,52.81,4,285,24
phylogeny_ms_perf_exp1_k_12_4.phy,0,3083,1385,27.37,4,365,13
phylogeny_ms_perf_exp1_k_12_5.phy,0,3231,1275,22.94,4,283,10
phylogeny_ms_perf_exp1_k_12_6.phy,0,3738,0,6.76,1,0,0
phylogeny_ms_perf_exp1_k_12_7.phy,1,3205,1315,21.27,4,89,19
phylogeny_ms_perf_exp1_k_12_8.phy,0,3112,625,12.31,4,29,5
phylogeny_ms_perf_exp1_k_12_9.phy,1,3351,1749,40.28,4,141,21
phylogeny_ms_perf_exp1_k_14_0.phy,0,3878,1828,89.68,4,1039,27
phylogeny_ms_perf_exp1_k_14_10.phy,0,3913,1764,83.93,4,1010,23
phylogeny_ms_perf_exp1_k_14_11.phy,0,4151,2155,687.17,4,6541,22
phylogeny_ms_perf_exp1_k_14_12.phy,0,4128,0,6.8,1,0,0
phylogeny_ms_perf_exp1_k_14_13.phy,1,3154,755,13.48,4,68,14
phylogeny_ms_perf_exp1_k_14_14.phy,0,3707,0,6.81,1,0,0
phylogeny_ms_perf_exp1_k_14_15.phy,0,3678,0,6.82,1,0,0
phylogeny_ms_perf_exp1_k_14_16.phy,1,3675,2094,86.59,4,359,34
phylogeny_ms_perf_exp1_k_14_17.phy,1,4105,1877,72.26,4,479,38
phylogeny_ms_perf_exp1_k_14_18.phy,1,4193,2078,182.91,4,1318,35
phylogeny_ms_perf_exp1_k_14_19.phy,0,4205,0,6.8,1,0,0
phylogeny_ms_perf_exp1_k_14_1.phy,1,4017,1876,69.0,4,360,37
phylogeny_ms_perf_exp1_k_14_2.phy,0,3017,1072,15.6,4,41,1
phylogeny_ms_perf_exp1_k_14_3.phy,0,3750,0,6.9,1,0,0
phylogeny_ms_perf_exp1_k_14_4.phy,1,4192,2470,1226.07,4,8518,36
phylogeny_ms_perf_exp1_k_14_5.phy,1,4028,2232,118.6,4,566,31
phylogeny_ms_perf_exp1_k_14_6.phy,0,3893,0,6.76,1,0,0
phylogeny_ms_perf_exp1_k_14_7.phy,0,3980,2295,238.68,4,1723,27
phylogeny_ms_perf_exp1_k_14_8.phy,0,4003,2432,370.25,4,1995,42
phylogeny_ms_perf_exp1_k_14_9.phy,0,3511,0,6.71,1,0,0
phylogeny_ms_perf_exp1_k_16_0.phy,1,4379,2269,104.84,4,325,48
phylogeny_ms_perf_exp1_k_16_10.phy,0,4695,0,6.8,1,0,0
phylogeny_ms_perf_exp1_k_16_11.phy,0,4147,1942,79.62,4,414,32
phylogeny_ms_perf_exp1_k_16_12.phy,0,4415,2552,295.68,4,1515,35
phylogeny_ms_perf_exp1_k_16_13.phy,0,4560,0,6.87,1,0,0
phylogeny_ms_perf_exp1_k_16_14.phy,1,4577,1984,116.74,4,1045,49
phylogeny_ms_perf_exp1_k_16_15.phy,0,4247,2415,354.71000000000004,4,1728,35
phylogeny_ms_perf_exp1_k_16_16.phy,1,3703,1145,21.13,4,187,26
phylogeny_ms_perf_exp1_k_16_17.phy,0,3748,0,6.96,1,0,0
phylogeny_ms_perf_exp1_k_16_18.phy,1,4081,2186,87.67,4,274,30
phylogeny_ms_perf_exp1_k_16_19.phy,1,4239,2132,251.17,4,2032,30
phylogeny_ms_perf_exp1_k_16_1.phy,1,4397,1739,72.12,4,678,34
phylogeny_ms_perf_exp1_k_16_2.phy,1,4307,1773,75.47,4,723,33
phylogeny_ms_perf_exp1_k_16_3.phy,1,4431,2344,480.71,4,3542,36
phylogeny_ms_perf_exp1_k_16_4.phy,1,4673,2602,659.68,4,3384,42
phylogeny_ms_perf_exp1_k_16_5.phy,0,4715,0,6.85,1,0,0
phylogeny_ms_perf_exp1_k_16_6.phy,0,4368,1831,68.87,4,539,24
phylogeny_ms_perf_exp1_k_16_7.phy,0,4557,0,7.2,1,0,0
phylogeny_ms_perf_exp1_k_16_8.phy,0,3746,0,6.74,1,0,0
phylogeny_ms_perf_exp1_k_16_9.phy,0,4305,0,7.05,1,0,0
phylogeny_ms_perf_exp1_k_18_0.phy,1,4417,1211,20.64,4,134,18
phylogeny_ms_perf_exp1_k_18_10.phy,1,4138,1747,49.05,4,298,28
phylogeny_ms_perf_exp1_k_18_11.phy,0,5042,0,6.95,1,0,0
phylogeny_ms_perf_exp1_k_18_12.phy,1,5232,2435,642.88,4,4259,45
phylogeny_ms_perf_exp1_k_18_13.phy,0,4835,2898,1549.47,4,4951,45
phylogeny_ms_perf_exp1_k_18_14.phy,1,3405,1182,18.09,4,59,17
phylogeny_ms_perf_exp1_k_18_15.phy,1,3356,1064,17.79,4,69,31
phylogeny_ms_perf_exp1_k_18_16.phy,1,4691,2441,1017.37,4,7053,42
phylogeny_ms_perf_exp1_k_18_17.phy,0,4616,956,21.79,4,369,42
phylogeny_ms_perf_exp1_k_18_18.phy,0,4240,0,6.84,1,0,0
phylogeny_ms_perf_exp1_k_18_19.phy,0,4572,2407,172.58,4,730,32
phylogeny_ms_perf_exp1_k_18_1.phy,0,4772,0,7.0,1,0,0
phylogeny_ms_perf_exp1_k_18_2.phy,1,4855,2213,104.77,4,378,48
phylogeny_ms_perf_exp1_k_18_3.phy,1,4177,1259,23.44,4,114,29
phylogeny_ms_perf_exp1_k_18_4.phy,1,4011,1361,30.56,4,419,21
phylogeny_ms_perf_exp1_k_18_5.phy,0,4515,0,6.79,1,0,0
phylogeny_ms_perf_exp1_k_18_6.phy,0,4901,0,7.15,1,0,0
phylogeny_ms_perf_exp1_k_18_7.phy,0,4498,0,7.15,1,0,0
phylogeny_ms_perf_exp1_k_18_8.phy,1,3745,938,18.46,4,87,25
phylogeny_ms_perf_exp1_k_18_9.phy,0,4083,0,7.14,1,0,0
phylogeny_ms_perf_exp1_k_20_0.phy,0,5267,2365,1328.56,4,11287,39
phylogeny_ms_perf_exp1_k_20_10.phy,1,5624,2487,438.08,4,3008,57
phylogeny_ms_perf_exp1_k_20_11.phy,0,4806,1618,65.95,4,1163,24
phylogeny_ms_perf_exp1_k_20_12.phy,1,4797,2458,229.79,4,901,40
phylogeny_ms_perf_exp1_k_20_13.phy,0,5085,0,6.94,1,0,0
phylogeny_ms_perf_exp1_k_20_14.phy,-1,5403,2767,TO,3,32377,0
phylogeny_ms_perf_exp1_k_20_15.phy,0,5217,0,7.01,1,0,0
phylogeny_ms_perf_exp1_k_20_16.phy,1,4832,2628,160.32,4,483,47
phylogeny_ms_perf_exp1_k_20_17.phy,0,5046,2395,349.91,4,2178,43
phylogeny_ms_perf_exp1_k_20_18.phy,1,5170,2284,288.04,4,1998,42
phylogeny_ms_perf_exp1_k_20_19.phy,0,4770,0,7.37,1,0,0
phylogeny_ms_perf_exp1_k_20_1.phy,1,4888,1492,37.84,4,472,25
phylogeny_ms_perf_exp1_k_20_2.phy,0,4147,0,6.93,1,0,0
phylogeny_ms_perf_exp1_k_20_3.phy,0,4400,0,6.77,1,0,0
phylogeny_ms_perf_exp1_k_20_4.phy,0,4452,1557,60.9,4,1029,38
phylogeny_ms_perf_exp1_k_20_5.phy,0,4944,857,16.68,4,105,16
phylogeny_ms_perf_exp1_k_20_6.phy,1,5175,2554,218.18,4,1015,50
phylogeny_ms_perf_exp1_k_20_7.phy,1,4824,2474,558.86,4,2677,114
phylogeny_ms_perf_exp1_k_20_8.phy,0,4754,1748,70.1,4,575,30
phylogeny_ms_perf_exp1_k_20_9.phy,1,4757,1610,100.34,4,1766,37
phylogeny_ms_perf_exp1_k_2_0.phy,0,690,362,5.78,4,5,0
phylogeny_ms_perf_exp1_k_2_10.phy,0,658,337,5.3,4,2,0
phylogeny_ms_perf_exp1_k_2_11.phy,0,716,369,6.01,4,2,0
phylogeny_ms_perf_exp1_k_2_12.phy,0,674,381,5.65,4,12,0
phylogeny_ms_perf_exp1_k_2_13.phy,1,698,0,4.73,1,0,0
phylogeny_ms_perf_exp1_k_2_14.phy,0,694,360,5.62,4,4,0
phylogeny_ms_perf_exp1_k_2_15.phy,0,664,385,5.47,4,5,0
phylogeny_ms_perf_exp1_k_2_16.phy,1,654,0,4.35,1,0,0
phylogeny_ms_perf_exp1_k_2_17.phy,0,684,452,5.82,4,11,0
phylogeny_ms_perf_exp1_k_2_18.phy,0,688,428,5.78,4,9,0
phylogeny_ms_perf_exp1_k_2_19.phy,0,712,408,6.28,4,17,0
phylogeny_ms_perf_exp1_k_2_1.phy,1,662,0,4.2,1,0,0
phylogeny_ms_perf_exp1_k_22_0.phy,0,4818,2276,659.82,4,5906,39
