instance,has_pp,minsep_ip,triang,bin_ip,perftphy
phylogeny_ms_perf_exp1_n_40_0.phy,1,0.07,0.08,TO,0.09
phylogeny_ms_perf_exp1_k_10_0.phy,1,31.08,19.41,MO,1.66
phylogeny_ms_perf_exp1_k_10_10.phy,0,38.44,24.26,7.35,1.88
phylogeny_ms_perf_exp1_k_10_11.phy,0,32.7,19.28,6.54,1.68
phylogeny_ms_perf_exp1_k_10_12.phy,0,37.48,6.55,6.54,1.71
phylogeny_ms_perf_exp1_k_10_13.phy,0,34.93,22.49,6.01,1.89
phylogeny_ms_perf_exp1_k_10_14.phy,0,46.05,6.7,7.03,1.81
phylogeny_ms_perf_exp1_k_10_15.phy,1,31.92,15.81,MO,1.85
phylogeny_ms_perf_exp1_k_10_16.phy,0,39.51,28.5,6.45,2.03
phylogeny_ms_perf_exp1_k_10_17.phy,0,99.93,6.69,5.97,1.61
phylogeny_ms_perf_exp1_k_10_18.phy,0,32.46,14.26,6.28,1.94
phylogeny_ms_perf_exp1_k_10_19.phy,0,32.44,6.73,5.91,1.84
phylogeny_ms_perf_exp1_k_10_1.phy,0,119.29,51.23,6.29,1.82
phylogeny_ms_perf_exp1_k_10_2.phy,0,25.81,6.6,6.47,1.25
phylogeny_ms_perf_exp1_k_10_3.phy,0,132.58,6.68,6.35,1.69
phylogeny_ms_perf_exp1_k_10_4.phy,0,30.54,17.01,8.6,1.73
phylogeny_ms_perf_exp1_k_10_5.phy,0,48.79,7.14,6.03,1.64
phylogeny_ms_perf_exp1_k_10_6.phy,0,36.86,23.88,32.03,1.98
phylogeny_ms_perf_exp1_k_10_7.phy,0,63.39,50.27,6.36,1.93
phylogeny_ms_perf_exp1_k_10_8.phy,0,31.16,20.99,9.98,1.63
phylogeny_ms_perf_exp1_k_10_9.phy,1,37.8,26.97,MO,1.97
phylogeny_ms_perf_exp1_k_12_0.phy,0,140.4,110.85,6.49,2.77
phylogeny_ms_perf_exp1_k_12_10.phy,0,44.18,6.86,6.75,2.4
phylogeny_ms_perf_exp1_k_12_11.phy,1,56.05,32.51,MO,2.39
phylogeny_ms_perf_exp1_k_12_12.phy,0,33.5,6.66,6.16,2.12
phylogeny_ms_perf_exp1_k_12_13.phy,0,55.17,6.64,6.09,2.24
phylogeny_ms_perf_exp1_k_12_14.phy,0,553.1,6.99,6.12,2.04
phylogeny_ms_perf_exp1_k_12_15.phy,1,27.18,11.75,TO,2.24
phylogeny_ms_perf_exp1_k_12_16.phy,1,89.55,84.0,MO,2.43
phylogeny_ms_perf_exp1_k_12_17.phy,0,121.97,99.6,7.38,2.44
phylogeny_ms_perf_exp1_k_12_18.phy,0,58.04,6.96,6.74,2.81
phylogeny_ms_perf_exp1_k_12_19.phy,0,30.44,15.36,11.1,2.27
phylogeny_ms_perf_exp1_k_12_1.phy,0,44.75,6.67,6.51,2.27
phylogeny_ms_perf_exp1_k_12_2.phy,0,490.95,6.99,6.13,2.37
phylogeny_ms_perf_exp1_k_12_3.phy,1,51.91,52.81,MO,2.3
phylogeny_ms_perf_exp1_k_12_4.phy,0,47.06,27.37,6.41,2.27
phylogeny_ms_perf_exp1_k_12_5.phy,0,39.06,22.94,6.25,1.95
phylogeny_ms_perf_exp1_k_12_6.phy,0,82.04,6.76,7.24,2.98
phylogeny_ms_perf_exp1_k_12_7.phy,1,34.85,21.27,MO,2.21
phylogeny_ms_perf_exp1_k_12_8.phy,0,30.67,12.31,8.82,2.07
phylogeny_ms_perf_exp1_k_12_9.phy,1,41.86,40.28,MO,2.66
phylogeny_ms_perf_exp1_k_14_0.phy,0,124.01,89.68,7.4,3.31
phylogeny_ms_perf_exp1_k_14_10.phy,0,115.09,83.93,6.76,4.07
phylogeny_ms_perf_exp1_k_14_11.phy,0,882.61,687.17,6.32,4.16
phylogeny_ms_perf_exp1_k_14_12.phy,0,182.18,6.8,6.55,4.52
phylogeny_ms_perf_exp1_k_14_13.phy,1,31.14,13.48,MO,2.34
phylogeny_ms_perf_exp1_k_14_14.phy,0,241.7,6.81,6.49,2.75
phylogeny_ms_perf_exp1_k_14_15.phy,0,54.73,6.82,6.12,2.84
