instance,tl,n,kn,time,phase,minseps,pmcs
dimacs_anna.graph,2,138,0,0.02,1,0,0
dimacs_david.graph,2,87,0,0.04,1,0,0
dimacs_DSJC1000.1.graph,-1,1000,1000,TO,2,115961218,0
dimacs_DSJC1000.5.graph,2,1000,0,80.83,1,0,0
dimacs_DSJC1000.9.graph,2,1000,0,16.82,1,0,0
dimacs_DSJC125.1.graph,-1,125,125,MO,2,552249980,0
dimacs_DSJC125.5.graph,2,125,0,0.23,1,0,0
dimacs_DSJC125.9.graph,2,125,0,0.12,1,0,0
dimacs_DSJC250.1.graph,-1,250,250,MO,2,266044193,0
dimacs_DSJC250.5.graph,2,250,0,1.2,1,0,0
dimacs_DSJC250.9.graph,2,250,0,0.37,1,0,0
dimacs_DSJC500.1.graph,-1,500,500,MO,2,266130296,0
dimacs_DSJC500.5.graph,2,500,0,9.6,1,0,0
dimacs_DSJC500.9.graph,2,500,0,2.12,1,0,0
dimacs_DSJR500.1c.graph,2,500,0,1.72,1,0,0
dimacs_DSJR500.1.graph,-1,500,485,TO,2,85071073,0
dimacs_DSJR500.5.graph,-1,500,500,TO,3,1717789,0
dimacs_flat1000_50_0.graph,2,1000,0,84.56,1,0,0
dimacs_flat1000_60_0.graph,2,1000,0,86.66,1,0,0
dimacs_flat1000_76_0.graph,2,1000,0,80.09,1,0,0
dimacs_flat300_20_0.graph,2,300,0,2.01,1,0,0
dimacs_flat300_26_0.graph,2,300,0,1.98,1,0,0
dimacs_flat300_28_0.graph,2,300,0,2.05,1,0,0
dimacs_fpsol2.i.1.graph,2,269,0,0.59,1,0,0
dimacs_fpsol2.i.2.graph,2,363,0,0.6,1,0,0
dimacs_fpsol2.i.3.graph,2,363,0,0.62,1,0,0
dimacs_games120.graph,-1,120,106,MO,2,536852757,0
dimacs_homer.graph,-1,556,161,TO,2,432291220,0
dimacs_huck.graph,2,74,0,0.01,1,0,0
dimacs_inithx.i.1.graph,2,519,0,1.11,1,0,0
dimacs_inithx.i.2.graph,2,558,0,0.83,1,0,0
dimacs_inithx.i.3.graph,2,559,0,0.82,1,0,0
dimacs_jean.graph,2,77,0,0.01,1,0,0
dimacs_latin_square_10.graph,2,900,0,26.16,1,0,0
dimacs_le450_15a.graph,-1,450,450,MO,2,239641217,0
dimacs_le450_15b.graph,-1,450,448,MO,2,241306569,0
dimacs_le450_15c.graph,-1,450,450,MO,2,239908553,0
dimacs_le450_15d.graph,-1,450,450,MO,2,241937676,0
dimacs_le450_25a.graph,-1,450,449,MO,2,240311163,0
dimacs_le450_25b.graph,-1,450,450,MO,2,239694792,0
dimacs_le450_25c.graph,-1,450,450,MO,2,239520815,0
dimacs_le450_25d.graph,-1,450,450,MO,2,239963004,0
dimacs_le450_5a.graph,-1,450,450,MO,2,240827156,0
dimacs_le450_5b.graph,-1,450,450,MO,2,240123134,0
dimacs_le450_5c.graph,-1,450,450,MO,2,239908049,0
dimacs_le450_5d.graph,-1,450,450,MO,2,239694783,0
dimacs_miles1000.graph,2,128,0,0.19,1,0,0
dimacs_miles1500.graph,2,128,0,0.16,1,0,0
dimacs_miles250.graph,3,125,32,0.05,4,376,176
dimacs_miles500.graph,3,128,113,2.98,4,40346,10969
dimacs_miles750.graph,3,128,122,1.79,4,18973,912
dimacs_mulsol.i.1.graph,2,138,0,0.15,1,0,0
dimacs_mulsol.i.2.graph,2,173,0,0.19,1,0,0
dimacs_mulsol.i.3.graph,2,174,0,0.19,1,0,0
dimacs_mulsol.i.4.graph,2,175,0,0.19,1,0,0
dimacs_mulsol.i.5.graph,2,176,0,0.22,1,0,0
dimacs_myciel2.graph,2,5,0,0.01,1,0,0
dimacs_myciel3.graph,2,11,0,0.03,1,0,0
dimacs_myciel4.graph,2,23,0,0.03,1,0,0
dimacs_myciel5.graph,2,47,0,0.04,1,0,0
dimacs_myciel6.graph,2,95,0,0.16,1,0,0
dimacs_myciel7.graph,2,191,0,1.02,1,0,0
dimacs_queen10_10.graph,2,100,0,0.14,1,0,0
dimacs_queen11_11.graph,2,121,0,0.23,1,0,0
dimacs_queen12_12.graph,2,144,0,0.36,1,0,0
dimacs_queen13_13.graph,2,169,0,0.55,1,0,0
dimacs_queen14_14.graph,2,196,0,0.81,1,0,0
dimacs_queen15_15.graph,2,225,0,1.3,1,0,0
dimacs_queen16_16.graph,2,256,0,1.91,1,0,0
dimacs_queen5_5.graph,2,25,0,0.02,1,0,0
dimacs_queen6_6.graph,2,36,0,0.04,1,0,0
dimacs_queen7_7.graph,2,49,0,0.05,1,0,0
dimacs_queen8_12.graph,2,96,0,0.12,1,0,0
dimacs_queen8_8.graph,2,64,0,0.04,1,0,0
dimacs_queen9_9.graph,2,81,0,0.09,1,0,0
dimacs_school1.graph,2,385,0,11.09,1,0,0
dimacs_school1_nsh.graph,-1,352,332,MO,2,271174459,0
dimacs_zeroin.i.1.graph,2,126,0,0.06,1,0,0
dimacs_zeroin.i.2.graph,2,157,0,0.17,1,0,0
dimacs_zeroin.i.3.graph,2,157,0,0.17,1,0,0
