instance,tw,n,kn,time,phase,minseps,pmcs
CFG_contiki_contiki_abc_abc_close.gr,1,7,0,0.14,1,0,0
CFG_contiki_contiki_abc_abc_input.gr,1,10,0,0.12,1,0,0
CFG_contiki_contiki_abc_abc_open.gr,1,15,0,0.16,1,0,0
CFG_contiki_contiki_abc_abc_send.gr,1,8,0,0.13,1,0,0
CFG_contiki_contiki_abc_abc_sent.gr,2,13,0,0.01,1,0,0
CFG_contiki_contiki_about_about_quit.gr,1,9,0,0.01,1,0,0
CFG_contiki_contiki_about_process_thread_about_process.gr,3,159,0,0.03,1,0,0
CFG_contiki_contiki_announcement_announcement_bump.gr,2,18,0,0.01,1,0,0
CFG_contiki_contiki_announcement_announcement_heard.gr,2,30,0,0.01,1,0,0
CFG_contiki_contiki_announcement_announcement_init.gr,1,6,0,0.01,1,0,0
CFG_contiki_contiki_announcement_announcement_list.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_announcement_announcement_listen.gr,2,7,0,0.01,1,0,0
CFG_contiki_contiki_announcement_announcement_register.gr,2,26,0,0.01,1,0,0
CFG_contiki_contiki_announcement_announcement_register_listen_callback.gr,1,5,0,0.02,1,0,0
CFG_contiki_contiki_announcement_announcement_register_observer_callback.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_announcement_announcement_remove.gr,1,8,0,0.01,1,0,0
CFG_contiki_contiki_announcement_announcement_remove_value.gr,2,16,0,0.01,1,0,0
CFG_contiki_contiki_announcement_announcement_set_value.gr,2,20,0,0.01,1,0,0
CFG_contiki_contiki_autostart_autostart_exit.gr,2,15,0,0.01,1,0,0
CFG_contiki_contiki_autostart_autostart_start.gr,2,16,0,0.02,1,0,0
CFG_contiki_contiki_broadcast-announcement_adv_packet_received.gr,2,61,0,0.02,1,0,0
CFG_contiki_contiki_broadcast-announcement_adv_packet_sent.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_broadcast-announcement_broadcast_announcement_beacon_interval.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_broadcast-announcement_broadcast_announcement_init.gr,1,21,0,0.02,1,0,0
CFG_contiki_contiki_broadcast-announcement_broadcast_announcement_stop.gr,1,17,0,0.01,1,0,0
CFG_contiki_contiki_broadcast-announcement_new_announcement.gr,2,12,0,0.01,1,0,0
CFG_contiki_contiki_broadcast-announcement_send_adv.gr,2,48,0,0.01,1,0,0
CFG_contiki_contiki_broadcast-announcement_send_timer.gr,2,17,0,0.01,1,0,0
CFG_contiki_contiki_broadcast-announcement_set_timers.gr,1,27,0,0.01,1,0,0
CFG_contiki_contiki_broadcast_broadcast_close.gr,1,7,0,0.01,1,0,0
CFG_contiki_contiki_broadcast_broadcast_open.gr,1,18,0,0.01,1,0,0
CFG_contiki_contiki_broadcast_broadcast_send.gr,1,13,0,0.01,1,0,0
CFG_contiki_contiki_broadcast_recv_from_abc.gr,1,20,0,0.04,1,0,0
CFG_contiki_contiki_broadcast_sent_by_abc.gr,2,13,0,0.03,1,0,0
CFG_contiki_contiki_calc_add_to_input.gr,2,18,0,0.03,1,0,0
CFG_contiki_contiki_calc_calc_quit.gr,1,8,0,0.02,1,0,0
CFG_contiki_contiki_calc_calculate.gr,2,31,0,0.02,1,0,0
CFG_contiki_contiki_calc_clear_input.gr,2,12,0,0.01,1,0,0
CFG_contiki_contiki_calc_input_to_operand1.gr,2,31,0,0.01,1,0,0
CFG_contiki_contiki_cfs-ram_cfs_close.gr,1,6,0,0.01,1,0,0
CFG_contiki_contiki_calc_operand2_to_input.gr,2,63,0,0.02,1,0,0
CFG_contiki_contiki_calc_process_thread_calc_process.gr,3,387,0,0.03,1,0,0
CFG_contiki_contiki_cfs-ram_cfs_closedir.gr,1,4,0,0.01,1,0,0
CFG_contiki_contiki_cfs-ram_cfs_open.gr,2,33,0,0.01,1,0,0
CFG_contiki_contiki_cfs-ram_cfs_opendir.gr,1,5,0,0.01,1,0,0
CFG_contiki_contiki_cfs-ram_cfs_read.gr,2,38,0,0.01,1,0,0
