instance,tw,triang_tw,tamaki,quickbb,p17
CFG_contiki_contiki_abc_abc_close.gr,1,0.14,0.21,0.04,0.19
CFG_contiki_contiki_abc_abc_input.gr,1,0.12,0.21,0.04,0.13
CFG_contiki_contiki_abc_abc_open.gr,1,0.16,0.21,0.03,0.19
CFG_contiki_contiki_abc_abc_send.gr,1,0.13,0.27,0.03,0.31
CFG_contiki_contiki_abc_abc_sent.gr,2,0.01,0.28,0.03,0.1
CFG_contiki_contiki_about_about_quit.gr,1,0.01,0.24,0.02,0.09
CFG_contiki_contiki_about_process_thread_about_process.gr,3,0.03,0.73,0.04,0.03
CFG_contiki_contiki_announcement_announcement_bump.gr,2,0.01,0.24,0.02,0.09
CFG_contiki_contiki_announcement_announcement_heard.gr,2,0.01,0.26,0.02,0.03
CFG_contiki_contiki_announcement_announcement_init.gr,1,0.01,0.22,0.01,0.03
CFG_contiki_contiki_announcement_announcement_list.gr,1,0.01,0.2,0.01,0.03
CFG_contiki_contiki_announcement_announcement_listen.gr,2,0.01,0.2,0.04,0.03
CFG_contiki_contiki_announcement_announcement_register.gr,2,0.01,0.22,0.04,0.02
CFG_contiki_contiki_announcement_announcement_register_listen_callback.gr,1,0.02,0.16,0.0,0.02
CFG_contiki_contiki_announcement_announcement_register_observer_callback.gr,1,0.01,0.2,0.01,0.03
CFG_contiki_contiki_announcement_announcement_remove.gr,1,0.01,0.2,0.01,0.02
CFG_contiki_contiki_announcement_announcement_remove_value.gr,2,0.01,0.2,0.01,0.03
CFG_contiki_contiki_announcement_announcement_set_value.gr,2,0.01,0.2,0.01,0.03
CFG_contiki_contiki_autostart_autostart_exit.gr,2,0.01,0.2,0.01,0.04
CFG_contiki_contiki_autostart_autostart_start.gr,2,0.02,0.19,0.01,0.04
CFG_contiki_contiki_broadcast-announcement_adv_packet_received.gr,2,0.02,0.33,0.09,0.03
CFG_contiki_contiki_broadcast-announcement_adv_packet_sent.gr,1,0.01,0.18,0.01,0.04
CFG_contiki_contiki_broadcast-announcement_broadcast_announcement_beacon_interval.gr,1,0.01,0.18,0.01,0.03
CFG_contiki_contiki_broadcast-announcement_broadcast_announcement_init.gr,1,0.02,0.17,0.01,0.03
CFG_contiki_contiki_broadcast-announcement_broadcast_announcement_stop.gr,1,0.01,0.16999999999999998,0.01,0.04
CFG_contiki_contiki_broadcast-announcement_new_announcement.gr,2,0.01,0.18,0.01,0.04
CFG_contiki_contiki_broadcast-announcement_send_adv.gr,2,0.01,0.31,0.03,0.04
CFG_contiki_contiki_broadcast-announcement_send_timer.gr,2,0.01,0.21,0.0,0.04
CFG_contiki_contiki_broadcast-announcement_set_timers.gr,1,0.01,0.23,0.01,0.03
CFG_contiki_contiki_broadcast_broadcast_close.gr,1,0.01,0.19,0.01,0.04
CFG_contiki_contiki_broadcast_broadcast_open.gr,1,0.01,0.18,0.01,0.03
CFG_contiki_contiki_broadcast_broadcast_send.gr,1,0.01,0.19,0.0,0.02
CFG_contiki_contiki_broadcast_recv_from_abc.gr,1,0.04,0.18,0.01,0.03
CFG_contiki_contiki_broadcast_sent_by_abc.gr,2,0.03,0.16,0.01,0.03
CFG_contiki_contiki_calc_add_to_input.gr,2,0.03,0.24,0.01,0.03
CFG_contiki_contiki_calc_calc_quit.gr,1,0.02,0.15,0.01,0.03
CFG_contiki_contiki_calc_calculate.gr,2,0.02,0.28,0.02,0.03
CFG_contiki_contiki_calc_clear_input.gr,2,0.01,0.2,0.01,0.02
CFG_contiki_contiki_calc_input_to_operand1.gr,2,0.01,0.25,0.02,0.03
CFG_contiki_contiki_cfs-ram_cfs_close.gr,1,0.01,0.19,0.0,0.02
CFG_contiki_contiki_calc_operand2_to_input.gr,2,0.02,0.3,0.02,0.04
CFG_contiki_contiki_calc_process_thread_calc_process.gr,3,0.03,2.09,0.09,0.05
CFG_contiki_contiki_cfs-ram_cfs_closedir.gr,1,0.01,0.16,0.0,0.05
CFG_contiki_contiki_cfs-ram_cfs_open.gr,2,0.01,0.22,0.02,0.04
CFG_contiki_contiki_cfs-ram_cfs_opendir.gr,1,0.01,0.18,0.01,0.02
CFG_contiki_contiki_cfs-ram_cfs_read.gr,2,0.01,0.26,0.01,0.04
CFG_contiki_contiki_cfs-ram_cfs_readdir.gr,1,0.01,0.19,0.0,0.03
CFG_contiki_contiki_cfs-ram_cfs_remove.gr,1,0.01,0.19,0.01,0.02
CFG_contiki_contiki_cfs-ram_cfs_seek.gr,2,0.02,0.2,0.01,0.04
CFG_contiki_contiki_cfs-ram_cfs_write.gr,2,0.03,0.27,0.03,0.04
CFG_contiki_contiki_chameleon-bitopt_get_bits.gr,2,0.01,0.36,0.15,0.04
CFG_contiki_contiki_chameleon-bitopt_get_bits_in_byte.gr,1,0.01,0.18,0.02,0.04
CFG_contiki_contiki_chameleon-bitopt_header_size.gr,2,0.01,0.21,0.01,0.04
CFG_contiki_contiki_chameleon-bitopt_pack_header.gr,2,0.01,0.39,0.21,0.03
CFG_contiki_contiki_chameleon-bitopt_set_bits.gr,2,0.01,0.36,0.18,0.03
CFG_contiki_contiki_chameleon-bitopt_set_bits_in_byte.gr,1,0.01,0.2,0.02,0.02
CFG_contiki_contiki_chameleon-bitopt_unpack_header.gr,2,0.02,0.43,0.29000000000000004,0.03
CFG_contiki_contiki_chameleon-raw_hdrsize.gr,2,0.01,0.24,0.01,0.03
CFG_contiki_contiki_chameleon-raw_input.gr,2,0.03,0.47000000000000003,0.34,0.03
CFG_contiki_contiki_chameleon-raw_output.gr,2,0.04,0.43,0.19,0.03
CFG_contiki_contiki_chameleon_chameleon_create.gr,2,0.02,0.18,0.01,0.02
CFG_contiki_contiki_chameleon_chameleon_hdrsize.gr,1,0.01,0.17,0.0,0.03
CFG_contiki_contiki_chameleon_chameleon_init.gr,1,0.01,0.19,0.01,0.03
CFG_contiki_contiki_chameleon_chameleon_parse.gr,2,0.01,0.18,0.0,0.02
CFG_contiki_contiki_channel_channel_close.gr,1,0.01,0.16999999999999998,0.0,0.04
CFG_contiki_contiki_channel_channel_init.gr,1,0.01,0.17,0.01,0.05
CFG_contiki_contiki_channel_channel_lookup.gr,2,0.01,0.24,0.01,0.04
CFG_contiki_contiki_channel_channel_open.gr,1,0.01,1.18,0.0,0.04
CFG_contiki_contiki_channel_channel_set_attributes.gr,2,0.04,1.19,0.0,0.03
CFG_contiki_contiki_checkpoint_checkpoint_checkpoint.gr,1,0.01,1.17,0.0,0.04
CFG_contiki_contiki_checkpoint_checkpoint_init.gr,1,0.01,0.21,0.01,0.02
