instance,tts,triang,edfs
bayes-net_alarm.net,996,0.01,0.8799999999999999
bayes-net_andes.net,-1,TO,TO
bayes-net_asia.net,40,0.02,0.32999999999999996
bayes-net_barley.net,17140796,0.12,2678.1299999999997
bayes-net_cancer.net,16,0.02,0.33999999999999997
bayes-net_child.net,642,0.03,0.99
bayes-net_diabetes.net,-1,MO,TO
bayes-net_earthquake.net,16,0.02,0.33
bayes-net_hailfinder.net,9406,0.03,5.21
bayes-net_hepar2.net,2617,0.05,0.36
bayes-net_insurance.net,23880,0.02,1.93
bayes-net_link.net,-1,TO,TO
bayes-net_mildew.net,3400464,0.14,7.04
bayes-net_munin1.net,-1,MO,RTE
bayes-net_munin2.net,-1,TO,TO
bayes-net_munin3.net,-1,TO,TO
bayes-net_munin4.net,-1,TO,TO
bayes-net_munin.net,-1,TO,TO
bayes-net_pathfinder.net,182641,0.06,4.8500000000000005
bayes-net_pigs.net,-1,TO,TO
bayes-net_sachs.net,216,0.02,0.83
bayes-net_survey.net,32,0.02,0.39
bayes-net_water.net,3028305,0.05,4.6
bayes-net_win95pts.net,2684,0.04,9.1
totals,-,15,15
